idx,alpha,mu,omega,rho,loglike
97,0.04,0.2832,0.0,0.1304,-1880.0435791015625
98,0.04,0.2832,0.0,0.1328,-1901.7691650390625
99,0.04,0.2832,0.0,0.1352,-1886.1741943359375
100,0.04,0.2832,0.0,0.1376,-1889.531494140625
101,0.04,0.2832,0.0,0.14,-1890.0120849609375
102,0.04,0.2864,0.0,0.02,-1905.138427734375
103,0.04,0.2864,0.0,0.0224,-1893.792236328125
104,0.04,0.2864,0.0,0.0248,-1893.6815185546875
105,0.04,0.2864,0.0,0.0272,-1899.534423828125
106,0.04,0.2864,0.0,0.0296,-1882.099853515625
107,0.04,0.2864,0.0,0.032,-1881.36962890625
108,0.04,0.2864,0.0,0.0344,-1874.99169921875
109,0.04,0.2864,0.0,0.0368,-1883.0704345703125
110,0.04,0.2864,0.0,0.0392,-1890.9381103515625
111,0.04,0.2864,0.0,0.0416,-1868.898681640625
112,0.04,0.2864,0.0,0.044,-1873.7159423828125
113,0.04,0.2864,0.0,0.0464,-1868.00341796875
114,0.04,0.2864,0.0,0.0488,-1858.47216796875
115,0.04,0.2864,0.0,0.0512,-1870.588134765625
116,0.04,0.2864,0.0,0.0536,-1861.816650390625
117,0.04,0.2864,0.0,0.056,-1858.7755126953125
118,0.04,0.2864,0.0,0.0584,-1869.8487548828125
119,0.04,0.2864,0.0,0.0608,-1854.001953125
120,0.04,0.2864,0.0,0.0632,-1864.398681640625
121,0.04,0.2864,0.0,0.0656,-1860.904541015625
122,0.04,0.2864,0.0,0.068,-1865.904052734375
123,0.04,0.2864,0.0,0.0704,-1863.212890625
124,0.04,0.2864,0.0,0.0728,-1854.841796875
125,0.04,0.2864,0.0,0.0752,-1865.53173828125
126,0.04,0.2864,0.0,0.0776,-1871.90380859375
127,0.04,0.2864,0.0,0.08,-1873.510498046875
128,0.04,0.2864,0.0,0.0824,-1874.9293212890625
129,0.04,0.2864,0.0,0.0848,-1856.145263671875
130,0.04,0.2864,0.0,0.0872,-1865.625244140625
131,0.04,0.2864,0.0,0.0896,-1863.0263671875
132,0.04,0.2864,0.0,0.092,-1852.5157470703125
133,0.04,0.2864,0.0,0.0944,-1872.0167236328125
134,0.04,0.2864,0.0,0.0968,-1872.9193115234375
135,0.04,0.2864,0.0,0.0992,-1870.115478515625
136,0.04,0.2864,0.0,0.1016,-1869.7633056640625
137,0.04,0.2864,0.0,0.104,-1866.962646484375
138,0.04,0.2864,0.0,0.1064,-1875.223388671875
139,0.04,0.2864,0.0,0.1088,-1878.33740234375
140,0.04,0.2864,0.0,0.1112,-1877.273193359375
141,0.04,0.2864,0.0,0.1136,-1877.1201171875
142,0.04,0.2864,0.0,0.116,-1873.9376220703125
143,0.04,0.2864,0.0,0.1184,-1872.6005859375
144,0.04,0.2864,0.0,0.1208,-1882.63037109375
145,0.04,0.2864,0.0,0.1232,-1875.4527587890625
146,0.04,0.2864,0.0,0.1256,-1881.4111328125
147,0.04,0.2864,0.0,0.128,-1888.538818359375
148,0.04,0.2864,0.0,0.1304,-1873.669921875
149,0.04,0.2864,0.0,0.1328,-1881.497314453125
150,0.04,0.2864,0.0,0.1352,-1889.547119140625
151,0.04,0.2864,0.0,0.1376,-1884.3355712890625
152,0.04,0.2864,0.0,0.14,-1886.695068359375
153,0.04,0.2896,0.0,0.02,-1890.1337890625
154,0.04,0.2896,0.0,0.0224,-1891.9937744140625
155,0.04,0.2896,0.0,0.0248,-1895.0653076171875
156,0.04,0.2896,0.0,0.0272,-1889.49609375
157,0.04,0.2896,0.0,0.0296,-1872.511474609375
158,0.04,0.2896,0.0,0.032,-1879.0496826171875
159,0.04,0.2896,0.0,0.0344,-1871.255859375
160,0.04,0.2896,0.0,0.0368,-1873.099365234375
161,0.04,0.2896,0.0,0.0392,-1875.3408203125
162,0.04,0.2896,0.0,0.0416,-1879.720947265625
163,0.04,0.2896,0.0,0.044,-1861.915283203125
164,0.04,0.2896,0.0,0.0464,-1863.2744140625
165,0.04,0.2896,0.0,0.0488,-1867.4569091796875
166,0.04,0.2896,0.0,0.0512,-1852.2994384765625
167,0.04,0.2896,0.0,0.0536,-1864.914306640625
168,0.04,0.2896,0.0,0.056,-1852.37109375
169,0.04,0.2896,0.0,0.0584,-1861.6024169921875
170,0.04,0.2896,0.0,0.0608,-1857.7679443359375
171,0.04,0.2896,0.0,0.0632,-1859.2431640625
172,0.04,0.2896,0.0,0.0656,-1859.1798095703125
173,0.04,0.2896,0.0,0.068,-1857.366943359375
174,0.04,0.2896,0.0,0.0704,-1859.057373046875
175,0.04,0.2896,0.0,0.0728,-1859.550537109375
176,0.04,0.2896,0.0,0.0752,-1860.4232177734375
177,0.04,0.2896,0.0,0.0776,-1853.5965576171875
178,0.04,0.2896,0.0,0.08,-1855.187255859375
179,0.04,0.2896,0.0,0.0824,-1855.872802734375
180,0.04,0.2896,0.0,0.0848,-1862.709716796875
181,0.04,0.2896,0.0,0.0872,-1866.1837158203125
182,0.04,0.2896,0.0,0.0896,-1861.1796875
183,0.04,0.2896,0.0,0.092,-1856.472412109375
184,0.04,0.2896,0.0,0.0944,-1855.5950927734375
185,0.04,0.2896,0.0,0.0968,-1857.384765625
186,0.04,0.2896,0.0,0.0992,-1862.0244140625
187,0.04,0.2896,0.0,0.1016,-1870.8248291015625
188,0.04,0.2896,0.0,0.104,-1852.987060546875
189,0.04,0.2896,0.0,0.1064,-1865.04296875
190,0.04,0.2896,0.0,0.1088,-1870.15673828125
191,0.04,0.2896,0.0,0.1112,-1866.0751953125
192,0.04,0.2896,0.0,0.1136,-1866.7105712890625
193,0.04,0.2896,0.0,0.116,-1879.4805908203125
194,0.04,0.2896,0.0,0.1184,-1867.3824462890625
195,0.04,0.2896,0.0,0.1208,-1869.0621337890625
196,0.04,0.2896,0.0,0.1232,-1877.2904052734375
197,0.04,0.2896,0.0,0.1256,-1879.419677734375
198,0.04,0.2896,0.0,0.128,-1887.65087890625
199,0.04,0.2896,0.0,0.1304,-1868.630859375
200,0.04,0.2896,0.0,0.1328,-1877.02197265625
201,0.04,0.2896,0.0,0.1352,-1878.531005859375
202,0.04,0.2896,0.0,0.1376,-1873.9647216796875
203,0.04,0.2896,0.0,0.14,-1884.216064453125
204,0.04,0.2928,0.0,0.02,-1904.5247802734375
205,0.04,0.2928,0.0,0.0224,-1889.77978515625
206,0.04,0.2928,0.0,0.0248,-1888.288818359375
207,0.04,0.2928,0.0,0.0272,-1875.7840576171875
208,0.04,0.2928,0.0,0.0296,-1876.8365478515625
209,0.04,0.2928,0.0,0.032,-1869.590576171875
210,0.04,0.2928,0.0,0.0344,-1875.5833740234375
211,0.04,0.2928,0.0,0.0368,-1866.10693359375
212,0.04,0.2928,0.0,0.0392,-1859.77392578125
213,0.04,0.2928,0.0,0.0416,-1851.817626953125
214,0.04,0.2928,0.0,0.044,-1865.6202392578125
215,0.04,0.2928,0.0,0.0464,-1864.9300537109375
216,0.04,0.2928,0.0,0.0488,-1858.740478515625
217,0.04,0.2928,0.0,0.0512,-1857.3848876953125
218,0.04,0.2928,0.0,0.0536,-1854.6378173828125
219,0.04,0.2928,0.0,0.056,-1853.74609375
220,0.04,0.2928,0.0,0.0584,-1847.8857421875
221,0.04,0.2928,0.0,0.0608,-1845.608154296875
222,0.04,0.2928,0.0,0.0632,-1854.576171875
223,0.04,0.2928,0.0,0.0656,-1848.3929443359375
224,0.04,0.2928,0.0,0.068,-1857.362548828125
225,0.04,0.2928,0.0,0.0704,-1857.6873779296875
226,0.04,0.2928,0.0,0.0728,-1859.122802734375
227,0.04,0.2928,0.0,0.0752,-1855.0902099609375
228,0.04,0.2928,0.0,0.0776,-1848.4814453125
229,0.04,0.2928,0.0,0.08,-1847.7103271484375
230,0.04,0.2928,0.0,0.0824,-1853.272216796875
231,0.04,0.2928,0.0,0.0848,-1855.4141845703125
232,0.04,0.2928,0.0,0.0872,-1857.2379150390625
233,0.04,0.2928,0.0,0.0896,-1854.4351806640625
234,0.04,0.2928,0.0,0.092,-1857.9765625
235,0.04,0.2928,0.0,0.0944,-1847.1209716796875
236,0.04,0.2928,0.0,0.0968,-1862.2281494140625
237,0.04,0.2928,0.0,0.0992,-1860.124755859375
238,0.04,0.2928,0.0,0.1016,-1857.0966796875
239,0.04,0.2928,0.0,0.104,-1857.3402099609375
240,0.04,0.2928,0.0,0.1064,-1856.7440185546875
241,0.04,0.2928,0.0,0.1088,-1870.4659423828125
242,0.04,0.2928,0.0,0.1112,-1867.657958984375
243,0.04,0.2928,0.0,0.1136,-1865.802978515625
244,0.04,0.2928,0.0,0.116,-1874.1441650390625
245,0.04,0.2928,0.0,0.1184,-1874.357177734375
246,0.04,0.2928,0.0,0.1208,-1864.437744140625
247,0.04,0.2928,0.0,0.1232,-1868.052001953125
248,0.04,0.2928,0.0,0.1256,-1872.8804931640625
249,0.04,0.2928,0.0,0.128,-1857.74951171875
250,0.04,0.2928,0.0,0.1304,-1875.3848876953125
251,0.04,0.2928,0.0,0.1328,-1876.33056640625
252,0.04,0.2928,0.0,0.1352,-1865.03369140625
253,0.04,0.2928,0.0,0.1376,-1866.951904296875
