mu,rho,ll
0.375008,0.086921,-1830.108643
0.376185,0.086229,-1829.542114
0.378362,0.085578,-1830.552856
0.377375,0.086827,-1830.064453
0.373913,0.086803,-1829.446655
0.375306,0.085647,-1829.699707
0.376549,0.083509,-1828.914795
0.375559,0.083272,-1829.517334
0.375559,0.084909,-1829.13562
0.375673,0.085124,-1829.913696
0.373854,0.086592,-1829.932861
0.373358,0.086383,-1829.186523
0.37229,0.085745,-1828.607178
0.373551,0.085578,-1829.408081
0.37519,0.086187,-1829.829224
0.372816,0.084333,-1828.801025
0.373196,0.084317,-1828.654053
0.373196,0.084317,-1827.794434
0.374714,0.085707,-1829.15564
0.375907,0.086842,-1830.562988
0.374265,0.0884,-1829.796631
0.372534,0.08982,-1830.525391
0.373628,0.089665,-1829.219727
0.373628,0.089665,-1829.917603
0.372668,0.090615,-1830.02002
0.372336,0.09224,-1830.610107
0.375293,0.09391,-1831.333252
0.376094,0.093711,-1832.071045
0.375084,0.093194,-1832.055664
0.375327,0.092758,-1830.906006
0.372929,0.093313,-1830.999146
0.370367,0.091278,-1829.995605
0.372903,0.092571,-1830.593262
0.370684,0.093182,-1831.320068
0.368717,0.093017,-1829.905518
0.367666,0.092369,-1829.163696
0.368019,0.092179,-1829.151123
0.368854,0.091494,-1830.0354
0.365569,0.093627,-1829.377319
0.363717,0.093991,-1829.927734
0.365204,0.092711,-1829.517212
0.365415,0.09167,-1829.419678
0.365688,0.092112,-1829.929443
0.367674,0.092581,-1829.969482
0.367222,0.091472,-1829.451782
0.367222,0.091472,-1828.940918
0.369628,0.091249,-1829.94397
0.369754,0.092408,-1830.082275
0.369754,0.092408,-1829.549194
0.371592,0.093266,-1830.264282
0.370545,0.092517,-1830.329468
0.370265,0.093919,-1831.073364
0.369568,0.095256,-1830.962646
0.369568,0.095256,-1831.199463
0.368276,0.095346,-1831.502563
0.368276,0.095346,-1830.720459
0.365693,0.09407,-1830.078003
0.366208,0.095308,-1830.699951
0.367984,0.094634,-1829.459229
0.366831,0.095508,-1830.643555
0.367476,0.094469,-1829.85791
0.369651,0.096379,-1830.496704
0.369651,0.096379,-1830.634644
0.369009,0.096025,-1831.935913
0.368132,0.09632,-1830.340942
0.364762,0.095243,-1829.828613
0.365025,0.095681,-1830.859375
0.361635,0.094674,-1829.958252
0.361997,0.093351,-1829.574097
0.361997,0.093351,-1829.10376
0.359334,0.090696,-1827.508423
0.357811,0.091579,-1828.349854
0.357819,0.091699,-1828.36499
0.357819,0.091699,-1828.55896
0.358526,0.093883,-1829.43042
0.356432,0.092035,-1828.087646
0.355921,0.091988,-1827.747559
0.353533,0.092175,-1826.903564
0.353533,0.092175,-1827.999512
0.35191,0.09142,-1827.694092
0.351702,0.091697,-1827.528076
0.353025,0.091503,-1828.371948
0.353188,0.091654,-1827.805664
0.353188,0.091654,-1827.402588
0.352766,0.092357,-1828.027954
0.352766,0.092357,-1827.418701
0.352766,0.092357,-1828.001099
0.352766,0.092357,-1828.274658
0.353353,0.091243,-1828.345581
0.357994,0.091674,-1827.951172
0.357929,0.09027,-1828.209473
0.354985,0.089487,-1827.450073
0.353211,0.089552,-1827.450195
0.350118,0.087356,-1826.367432
0.35081,0.08633,-1826.378052
0.350737,0.086025,-1826.962402
0.353812,0.086813,-1826.023438
0.352742,0.086936,-1826.18103
0.352172,0.087574,-1826.69104
0.354629,0.087382,-1826.869141
0.354629,0.087382,-1826.795654
0.352103,0.087983,-1826.324463
0.35371,0.087846,-1826.532227
0.35371,0.087846,-1826.558105
0.353372,0.088625,-1826.837158
0.356632,0.088689,-1827.570435
0.358409,0.088461,-1826.475952
0.358409,0.088461,-1827.129883
0.35788,0.088852,-1826.771118
0.356653,0.087827,-1827.740967
0.358898,0.087676,-1827.745605
0.358855,0.087911,-1827.183594
0.359647,0.087855,-1827.477173
0.359647,0.087855,-1827.265259
0.356967,0.088122,-1827.128418
0.3558,0.091035,-1827.869385
0.356286,0.091488,-1828.597046
0.357216,0.090626,-1828.231812
0.354771,0.089676,-1826.892334
0.351272,0.090566,-1826.862061
0.351795,0.090236,-1826.895264
0.350977,0.092079,-1828.268066
0.350977,0.092079,-1828.102539
0.350977,0.092079,-1827.580688
0.350977,0.092079,-1827.539917
0.351146,0.092799,-1828.591431
0.351146,0.092799,-1828.189819
0.353515,0.091262,-1827.988281
0.352125,0.091679,-1827.320068
0.352125,0.091679,-1827.087891
0.352125,0.091679,-1827.515137
0.353074,0.092424,-1828.263672
0.350712,0.091711,-1826.697754
0.350909,0.092564,-1827.588867
0.352388,0.091878,-1827.502686
0.351746,0.091971,-1827.299194
0.349869,0.091623,-1827.60022
0.350761,0.091851,-1827.633423
0.352225,0.090605,-1827.269531
0.352166,0.089173,-1826.738281
0.35137,0.087847,-1826.491211
0.350249,0.087786,-1827.196777
0.353215,0.087628,-1826.83728
0.352646,0.089702,-1827.556152
0.353389,0.08917,-1827.958374
0.34973,0.087438,-1827.035156
0.34928,0.085109,-1826.462158
0.350594,0.083614,-1826.654297
0.351841,0.082061,-1826.234985
0.351769,0.082897,-1825.122803
0.352562,0.082133,-1825.43689
0.355876,0.083591,-1825.870361
0.356111,0.084103,-1826.734985
0.35476,0.085884,-1826.242188
0.35544,0.085145,-1826.279785
0.35624,0.084968,-1826.294678
0.356496,0.086503,-1827.032471
0.355443,0.085614,-1827.420654
0.352257,0.085318,-1826.2052
0.352257,0.085318,-1825.704712
0.352656,0.08341,-1825.543823
0.353341,0.082141,-1825.564941
0.353341,0.082141,-1825.932861
0.353341,0.082141,-1825.161377
0.353341,0.082141,-1825.351318
0.353098,0.081347,-1825.706787
0.356371,0.08205,-1826.582031
0.355571,0.081433,-1825.714966
0.355602,0.082356,-1826.19751
0.354283,0.080603,-1825.097046
0.354283,0.080603,-1825.447388
0.356303,0.081144,-1826.061523
0.356417,0.081695,-1825.404541
0.356529,0.082459,-1826.052734
0.35654,0.081098,-1825.594238
0.355167,0.079809,-1825.0625
0.356804,0.079756,-1825.440552
0.356331,0.080787,-1825.678467
0.35553,0.081056,-1825.958496
0.352647,0.079907,-1825.392578
0.352531,0.077459,-1825.339722
0.351987,0.07607,-1824.848877
0.352154,0.07544,-1824.894531
0.352154,0.07544,-1824.381714
0.351175,0.075844,-1824.229492
0.35141,0.077674,-1825.334473
0.353745,0.076317,-1824.355835
0.350267,0.076542,-1825.433228
0.348996,0.078552,-1825.190186
0.348996,0.078552,-1824.435303
0.348996,0.078552,-1824.674316
0.348996,0.078552,-1824.894775
0.346554,0.079095,-1824.743896
0.346554,0.079095,-1824.287109
0.344735,0.079805,-1825.118042
0.343053,0.079329,-1825.344971
0.340928,0.07761,-1825.287964
0.338802,0.077501,-1824.574707
0.338117,0.077097,-1824.244873
0.340742,0.078788,-1825.990356
0.344416,0.080628,-1824.704346
0.347478,0.081277,-1825.365967
0.347663,0.079907,-1825.380615
0.34688,0.081204,-1824.778076
0.345493,0.081189,-1825.613281
0.344022,0.081236,-1825.186768
0.343409,0.080002,-1824.249756
0.341721,0.078653,-1824.322388
0.343422,0.080019,-1825.149902
0.343943,0.078715,-1823.776123
0.343818,0.078965,-1824.557861
0.345898,0.079319,-1825.113037
0.348859,0.079771,-1825.099854
0.348231,0.078886,-1825.807617
0.348231,0.078886,-1825.206177
0.348231,0.078886,-1824.383301
0.349205,0.079758,-1825.011108
0.351298,0.080803,-1825.531006
0.349985,0.080571,-1825.633301
0.348978,0.079632,-1825.172974
0.349226,0.079526,-1824.963379
0.348928,0.079117,-1824.621094
0.348331,0.078495,-1824.540039
0.347866,0.078943,-1824.224609
0.348138,0.079687,-1824.81311
0.348138,0.079687,-1825.183716
0.348328,0.079786,-1825.418701
0.348328,0.079786,-1824.51709
0.349869,0.080029,-1825.625488
0.351192,0.081118,-1826.492554
0.349503,0.081188,-1825.485962
0.347878,0.081485,-1824.502197
0.350159,0.083025,-1825.807373
0.34969,0.082839,-1825.783936
0.348451,0.081733,-1826.178589
0.352876,0.082336,-1825.588989
0.353634,0.083559,-1826.028809
0.353471,0.083793,-1825.252563
0.351734,0.085476,-1825.837402
0.350753,0.085205,-1826.510986
0.352092,0.085,-1826.168823
0.352449,0.086068,-1826.773071
0.355314,0.086608,-1827.249512
0.355249,0.086417,-1826.403687
0.355242,0.088231,-1827.08606
0.354052,0.088568,-1826.511475
0.353121,0.087101,-1826.815186
0.352754,0.086216,-1826.543701
0.353146,0.086408,-1826.640137
0.353217,0.086215,-1826.01123
0.35294,0.085039,-1826.494873
0.35124,0.086922,-1825.681152
0.353072,0.085987,-1826.573853
0.353011,0.08729,-1826.046387
0.353011,0.08729,-1826.27002
0.352388,0.088067,-1826.922729
0.350819,0.088976,-1826.518799
0.350819,0.088976,-1826.507812
0.352262,0.088987,-1826.689941
0.354433,0.089178,-1827.633667
0.351663,0.089952,-1826.595215
0.351663,0.089952,-1827.081177
0.353115,0.088764,-1826.917236
0.350394,0.088919,-1827.063232
0.347456,0.087831,-1826.657227
0.348233,0.086339,-1826.392822
0.348233,0.086339,-1825.822388
0.347987,0.085952,-1825.339722
0.346169,0.086625,-1826.345459
0.345175,0.085946,-1826.207153
0.344094,0.0866,-1825.545532
0.343987,0.087992,-1826.406982
0.34211,0.089106,-1827.27356
0.34211,0.089106,-1826.674805
0.344608,0.090066,-1826.997314
0.34505,0.090914,-1827.027588
0.344705,0.089483,-1827.566162
0.344425,0.088059,-1826.652222
0.34404,0.085424,-1825.791626
0.345357,0.085083,-1825.484131
0.345379,0.082883,-1825.14917
0.345797,0.082539,-1825.390015
0.344541,0.081182,-1825.035156
0.344612,0.082207,-1825.220459
0.344857,0.080285,-1824.657104
0.344857,0.080285,-1825.075684
0.344294,0.078234,-1824.551514
0.347647,0.078855,-1824.94458
0.34568,0.078318,-1825.287354
0.34599,0.076402,-1824.952393
0.344537,0.077291,-1823.924561
0.344229,0.080782,-1825.30896
0.345292,0.079276,-1825.567383
0.345292,0.079276,-1824.613892
