,alpha,mu,omega,logposterior
139,0.045027036,1.0413786,0.6499698,-1970.9212646484375
140,0.04479641,1.0333004,0.6454002,-1970.650146484375
141,0.04469436,1.0426643,0.65123004,-1969.37744140625
142,0.045049403,1.0474714,0.6471427,-1969.52001953125
143,0.045049403,1.0474714,0.6471427,-1970.172119140625
144,0.044403095,1.0487183,0.6573087,-1967.8355712890625
145,0.044767283,1.0395484,0.6490246,-1969.9896240234375
146,0.045322433,1.0559216,0.6521339,-1969.1212158203125
147,0.045322433,1.0559216,0.6521339,-1969.293212890625
148,0.04529503,1.0573637,0.65236795,-1969.7301025390625
149,0.04529503,1.0573637,0.65236795,-1969.9422607421875
150,0.04529503,1.0573637,0.65236795,-1970.46484375
151,0.04529503,1.0573637,0.65236795,-1970.5157470703125
152,0.04529503,1.0573637,0.65236795,-1969.7296142578125
153,0.044804104,1.037274,0.6511897,-1970.361083984375
154,0.044836767,1.0587071,0.6371378,-1971.4632568359375
155,0.045293257,1.0709804,0.63840604,-1972.0040283203125
156,0.044937667,1.0755996,0.6375102,-1972.4910888671875
157,0.04499366,1.0778921,0.637716,-1972.363525390625
158,0.04480266,1.0795652,0.6397693,-1971.254150390625
159,0.045616,1.096221,0.641499,-1972.7518310546875
160,0.045616,1.096221,0.641499,-1972.850830078125
161,0.045403223,1.0948093,0.6374069,-1973.658447265625
162,0.045403223,1.0948093,0.6374069,-1973.0145263671875
163,0.045707412,1.0728474,0.62795544,-1976.160400390625
164,0.045707412,1.0728474,0.62795544,-1975.683349609375
165,0.045707412,1.0728474,0.62795544,-1976.4378662109375
166,0.0453929,1.0411097,0.62676734,-1975.1253662109375
167,0.0453929,1.0411097,0.62676734,-1976.5791015625
168,0.04534365,1.0394187,0.6374021,-1973.794677734375
169,0.045372188,1.0367775,0.63715476,-1973.502685546875
170,0.045517463,1.0332801,0.6432151,-1972.308837890625
171,0.045517463,1.0332801,0.6432151,-1972.3829345703125
172,0.045517463,1.0332801,0.6432151,-1970.6710205078125
173,0.045517463,1.0332801,0.6432151,-1971.44189453125
174,0.045328435,1.036076,0.6359159,-1972.12841796875
175,0.045480963,1.016717,0.63637507,-1972.5404052734375
176,0.045206834,1.0306486,0.643746,-1972.5032958984375
177,0.04534591,1.0309565,0.63987833,-1970.937255859375
178,0.044509247,1.0230566,0.6344017,-1972.351806640625
179,0.043344464,1.0502954,0.64579576,-1967.6044921875
180,0.043344464,1.0502954,0.64579576,-1967.9593505859375
181,0.043255083,1.0279192,0.6344556,-1969.66796875
182,0.043255083,1.0279192,0.6344556,-1970.8726806640625
183,0.043622877,1.0548683,0.63950855,-1971.19287109375
184,0.043622877,1.0548683,0.63950855,-1970.6561279296875
185,0.04432548,1.0258251,0.6542375,-1969.29296875
186,0.04432548,1.0258251,0.6542375,-1968.933837890625
187,0.045028258,1.0313128,0.6566383,-1975.2176513671875
188,0.045028258,1.0313128,0.6566383,-1969.811279296875
189,0.045028258,1.0313128,0.6566383,-1973.014892578125
190,0.045724474,1.0343482,0.65951085,-1970.4952392578125
191,0.045724474,1.0343482,0.65951085,-1969.950927734375
192,0.04510807,1.0200584,0.6653991,-1970.94580078125
