idx,alpha,mu,omega,rho,loglike
1449,0.05,0.58,0.0,0.42,-2597.32958984375
1450,0.05,0.58,0.0,0.44,-2607.51513671875
1451,0.05,0.58,0.0,0.46,-2625.408203125
1452,0.05,0.58,0.0,0.48,-2640.65771484375
1453,0.05,0.58,0.0,0.5,-2653.52978515625
1454,0.05,0.58,0.0,0.52,-2668.7333984375
1455,0.05,0.58,0.0,0.54,-2684.310791015625
1456,0.05,0.58,0.0,0.56,-2701.818115234375
1457,0.05,0.58,0.0,0.58,-2718.00732421875
1458,0.05,0.58,0.0,0.6,-2738.4638671875
1459,0.05,0.58,0.0,0.62,-2749.93994140625
1460,0.05,0.58,0.0,0.64,-2769.16064453125
1461,0.05,0.58,0.0,0.66,-2779.00390625
1462,0.05,0.58,0.0,0.68,-2805.92529296875
1463,0.05,0.58,0.0,0.7,-2821.341552734375
1464,0.05,0.58,0.0,0.72,-2838.373046875
1465,0.05,0.58,0.0,0.74,-2853.0703125
1466,0.05,0.58,0.0,0.76,-2864.80419921875
1467,0.05,0.58,0.0,0.78,-2887.9375
1468,0.05,0.58,0.0,0.8,-2899.31201171875
1469,0.05,0.58,0.0,0.82,-2916.9091796875
1470,0.05,0.58,0.0,0.84,-2948.979736328125
1471,0.05,0.58,0.0,0.86,-2957.73681640625
1472,0.05,0.58,0.0,0.88,-2978.083984375
1473,0.05,0.58,0.0,0.9,-2988.6171875
1474,0.05,0.58,0.0,0.92,-3018.616455078125
1475,0.05,0.58,0.0,0.94,-3027.162109375
1476,0.05,0.58,0.0,0.96,-3059.2294921875
1477,0.05,0.58,0.0,0.98,-3069.01318359375
1478,0.05,0.58,0.0,1.0,-3082.77490234375
1479,0.05,0.6,0.0,0.0,-5959.2705078125
1480,0.05,0.6,0.0,0.02,-2563.064453125
1481,0.05,0.6,0.0,0.04,-2504.58154296875
1482,0.05,0.6,0.0,0.06,-2470.7001953125
1483,0.05,0.6,0.0,0.08,-2454.25439453125
1484,0.05,0.6,0.0,0.1,-2447.648681640625
1485,0.05,0.6,0.0,0.12,-2449.98486328125
1486,0.05,0.6,0.0,0.14,-2444.999267578125
1487,0.05,0.6,0.0,0.16,-2449.724609375
1488,0.05,0.6,0.0,0.18,-2456.843994140625
1489,0.05,0.6,0.0,0.2,-2463.9384765625
1490,0.05,0.6,0.0,0.22,-2473.216552734375
1491,0.05,0.6,0.0,0.24,-2482.727783203125
1492,0.05,0.6,0.0,0.26,-2495.802734375
1493,0.05,0.6,0.0,0.28,-2502.768310546875
1494,0.05,0.6,0.0,0.3,-2519.32958984375
1495,0.05,0.6,0.0,0.32,-2526.51708984375
1496,0.05,0.6,0.0,0.34,-2541.59033203125
1497,0.05,0.6,0.0,0.36,-2556.5693359375
1498,0.05,0.6,0.0,0.38,-2575.8857421875
1499,0.05,0.6,0.0,0.4,-2580.97314453125
1500,0.05,0.6,0.0,0.42,-2600.33935546875
1501,0.05,0.6,0.0,0.44,-2613.8740234375
1502,0.05,0.6,0.0,0.46,-2630.12158203125
1503,0.05,0.6,0.0,0.48,-2642.623046875
1504,0.05,0.6,0.0,0.5,-2659.238037109375
1505,0.05,0.6,0.0,0.52,-2677.32666015625
1506,0.05,0.6,0.0,0.54,-2692.73193359375
1507,0.05,0.6,0.0,0.56,-2704.875244140625
1508,0.05,0.6,0.0,0.58,-2720.06494140625
1509,0.05,0.6,0.0,0.6,-2742.987060546875
1510,0.05,0.6,0.0,0.62,-2755.85791015625
1511,0.05,0.6,0.0,0.64,-2769.2568359375
1512,0.05,0.6,0.0,0.66,-2789.28564453125
1513,0.05,0.6,0.0,0.68,-2806.994384765625
1514,0.05,0.6,0.0,0.7,-2824.66162109375
1515,0.05,0.6,0.0,0.72,-2842.000244140625
1516,0.05,0.6,0.0,0.74,-2861.847900390625
1517,0.05,0.6,0.0,0.76,-2876.388671875
1518,0.05,0.6,0.0,0.78,-2897.792724609375
1519,0.05,0.6,0.0,0.8,-2905.2587890625
1520,0.05,0.6,0.0,0.82,-2925.97802734375
1521,0.05,0.6,0.0,0.84,-2935.9384765625
1522,0.05,0.6,0.0,0.86,-2968.9169921875
1523,0.05,0.6,0.0,0.88,-2991.47412109375
1524,0.05,0.6,0.0,0.9,-3002.7119140625
1525,0.05,0.6,0.0,0.92,-3018.469482421875
1526,0.05,0.6,0.0,0.94,-3036.73388671875
1527,0.05,0.6,0.0,0.96,-3039.65771484375
1528,0.05,0.6,0.0,0.98,-3087.28857421875
1529,0.05,0.6,0.0,1.0,-3072.92529296875
1530,0.05,0.62,0.0,0.0,-6061.2861328125
1531,0.05,0.62,0.0,0.02,-2565.06640625
1532,0.05,0.62,0.0,0.04,-2504.459228515625
1533,0.05,0.62,0.0,0.06,-2471.4013671875
1534,0.05,0.62,0.0,0.08,-2460.1484375
1535,0.05,0.62,0.0,0.1,-2452.354736328125
1536,0.05,0.62,0.0,0.12,-2457.434814453125
1537,0.05,0.62,0.0,0.14,-2449.796142578125
1538,0.05,0.62,0.0,0.16,-2454.50146484375
1539,0.05,0.62,0.0,0.18,-2461.353759765625
1540,0.05,0.62,0.0,0.2,-2468.0927734375
1541,0.05,0.62,0.0,0.22,-2477.593505859375
1542,0.05,0.62,0.0,0.24,-2486.95849609375
1543,0.05,0.62,0.0,0.26,-2497.528076171875
1544,0.05,0.62,0.0,0.28,-2508.6787109375
1545,0.05,0.62,0.0,0.3,-2521.853515625
1546,0.05,0.62,0.0,0.32,-2539.658935546875
1547,0.05,0.62,0.0,0.34,-2551.923828125
1548,0.05,0.62,0.0,0.36,-2559.970458984375
1549,0.05,0.62,0.0,0.38,-2573.14306640625
1550,0.05,0.62,0.0,0.4,-2587.07763671875
1551,0.05,0.62,0.0,0.42,-2605.199951171875
1552,0.05,0.62,0.0,0.44,-2616.77294921875
1553,0.05,0.62,0.0,0.46,-2633.94189453125
1554,0.05,0.62,0.0,0.48,-2650.056884765625
1555,0.05,0.62,0.0,0.5,-2667.7001953125
1556,0.05,0.62,0.0,0.52,-2682.401123046875
1557,0.05,0.62,0.0,0.54,-2698.669677734375
1558,0.05,0.62,0.0,0.56,-2710.46484375
1559,0.05,0.62,0.0,0.58,-2728.905517578125
1560,0.05,0.62,0.0,0.6,-2746.868408203125
1561,0.05,0.62,0.0,0.62,-2759.64306640625
1562,0.05,0.62,0.0,0.64,-2780.7724609375
1563,0.05,0.62,0.0,0.66,-2795.173095703125
1564,0.05,0.62,0.0,0.68,-2811.37451171875
1565,0.05,0.62,0.0,0.7,-2831.69921875
1566,0.05,0.62,0.0,0.72,-2845.154296875
1567,0.05,0.62,0.0,0.74,-2864.51513671875
1568,0.05,0.62,0.0,0.76,-2879.09912109375
1569,0.05,0.62,0.0,0.78,-2898.113037109375
1570,0.05,0.62,0.0,0.8,-2913.24609375
1571,0.05,0.62,0.0,0.82,-2931.21875
1572,0.05,0.62,0.0,0.84,-2949.688720703125
1573,0.05,0.62,0.0,0.86,-2966.583251953125
1574,0.05,0.62,0.0,0.88,-2997.77685546875
1575,0.05,0.62,0.0,0.9,-3003.113037109375
1576,0.05,0.62,0.0,0.92,-3017.87890625
1577,0.05,0.62,0.0,0.94,-3046.9384765625
1578,0.05,0.62,0.0,0.96,-3058.5166015625
1579,0.05,0.62,0.0,0.98,-3064.63671875
1580,0.05,0.62,0.0,1.0,-3092.18603515625
1581,0.05,0.64,0.0,0.0,-6098.0048828125
1582,0.05,0.64,0.0,0.02,-2570.682373046875
1583,0.05,0.64,0.0,0.04,-2507.99267578125
1584,0.05,0.64,0.0,0.06,-2494.974609375
1585,0.05,0.64,0.0,0.08,-2465.63427734375
1586,0.05,0.64,0.0,0.1,-2463.357421875
1587,0.05,0.64,0.0,0.12,-2453.172119140625
1588,0.05,0.64,0.0,0.14,-2454.39501953125
1589,0.05,0.64,0.0,0.16,-2458.521728515625
1590,0.05,0.64,0.0,0.18,-2466.238525390625
1591,0.05,0.64,0.0,0.2,-2472.524169921875
1592,0.05,0.64,0.0,0.22,-2480.42236328125
1593,0.05,0.64,0.0,0.24,-2498.6435546875
1594,0.05,0.64,0.0,0.26,-2503.423095703125
1595,0.05,0.64,0.0,0.28,-2514.23291015625
1596,0.05,0.64,0.0,0.3,-2530.77294921875
1597,0.05,0.64,0.0,0.32,-2538.8837890625
1598,0.05,0.64,0.0,0.34,-2552.0146484375
1599,0.05,0.64,0.0,0.36,-2565.26025390625
1600,0.05,0.64,0.0,0.38,-2578.818359375
1601,0.05,0.64,0.0,0.4,-2593.956787109375
1602,0.05,0.64,0.0,0.42,-2610.830322265625
1603,0.05,0.64,0.0,0.44,-2623.37109375
1604,0.05,0.64,0.0,0.46,-2640.388671875
1605,0.05,0.64,0.0,0.48,-2654.0205078125
1606,0.05,0.64,0.0,0.5,-2671.794677734375
1607,0.05,0.64,0.0,0.52,-2687.23974609375
1608,0.05,0.64,0.0,0.54,-2704.9970703125
1609,0.05,0.64,0.0,0.56,-2717.765380859375
1610,0.05,0.64,0.0,0.58,-2735.497802734375
1611,0.05,0.64,0.0,0.6,-2749.447021484375
1612,0.05,0.64,0.0,0.62,-2767.078369140625
1613,0.05,0.64,0.0,0.64,-2782.900390625
1614,0.05,0.64,0.0,0.66,-2797.441162109375
1615,0.05,0.64,0.0,0.68,-2816.14306640625
1616,0.05,0.64,0.0,0.7,-2837.541259765625
1617,0.05,0.64,0.0,0.72,-2849.69482421875
1618,0.05,0.64,0.0,0.74,-2870.71923828125
1619,0.05,0.64,0.0,0.76,-2884.03564453125
1620,0.05,0.64,0.0,0.78,-2910.557373046875
1621,0.05,0.64,0.0,0.8,-2916.99169921875
1622,0.05,0.64,0.0,0.82,-2937.47607421875
1623,0.05,0.64,0.0,0.84,-2957.304931640625
1624,0.05,0.64,0.0,0.86,-2970.63623046875
1625,0.05,0.64,0.0,0.88,-2990.109130859375
1626,0.05,0.64,0.0,0.9,-3007.9580078125
1627,0.05,0.64,0.0,0.92,-3018.46533203125
1628,0.05,0.64,0.0,0.94,-3047.4248046875
1629,0.05,0.64,0.0,0.96,-3065.927978515625
1630,0.05,0.64,0.0,0.98,-3092.4111328125
1631,0.05,0.64,0.0,1.0,-3108.8408203125
1632,0.05,0.66,0.0,0.0,-6117.43212890625
1633,0.05,0.66,0.0,0.02,-2576.0869140625
1634,0.05,0.66,0.0,0.04,-2512.2216796875
1635,0.05,0.66,0.0,0.06,-2480.59130859375
1636,0.05,0.66,0.0,0.08,-2470.34716796875
1637,0.05,0.66,0.0,0.1,-2465.8955078125
1638,0.05,0.66,0.0,0.12,-2459.0712890625
1639,0.05,0.66,0.0,0.14,-2461.7890625
1640,0.05,0.66,0.0,0.16,-2469.19482421875
1641,0.05,0.66,0.0,0.18,-2470.99609375
1642,0.05,0.66,0.0,0.2,-2477.327392578125
1643,0.05,0.66,0.0,0.22,-2486.11376953125
1644,0.05,0.66,0.0,0.24,-2501.099365234375
1645,0.05,0.66,0.0,0.26,-2510.0146484375
1646,0.05,0.66,0.0,0.28,-2519.78564453125
1647,0.05,0.66,0.0,0.3,-2530.941650390625
1648,0.05,0.66,0.0,0.32,-2543.186767578125
1649,0.05,0.66,0.0,0.34,-2558.00244140625
1650,0.05,0.66,0.0,0.36,-2572.30322265625
1651,0.05,0.66,0.0,0.38,-2587.396484375
1652,0.05,0.66,0.0,0.4,-2602.06494140625
1653,0.05,0.66,0.0,0.42,-2615.955322265625
1654,0.05,0.66,0.0,0.44,-2631.2236328125
1655,0.05,0.66,0.0,0.46,-2647.33154296875
1656,0.05,0.66,0.0,0.48,-2660.50732421875
1657,0.05,0.66,0.0,0.5,-2675.9306640625
1658,0.05,0.66,0.0,0.52,-2688.79248046875
1659,0.05,0.66,0.0,0.54,-2708.25048828125
1660,0.05,0.66,0.0,0.56,-2727.544921875
1661,0.05,0.66,0.0,0.58,-2741.37060546875
1662,0.05,0.66,0.0,0.6,-2754.39501953125
1663,0.05,0.66,0.0,0.62,-2777.0537109375
1664,0.05,0.66,0.0,0.64,-2792.88427734375
1665,0.05,0.66,0.0,0.66,-2804.98681640625
1666,0.05,0.66,0.0,0.68,-2824.7587890625
1667,0.05,0.66,0.0,0.7,-2841.437744140625
1668,0.05,0.66,0.0,0.72,-2853.98193359375
1669,0.05,0.66,0.0,0.74,-2874.9560546875
1670,0.05,0.66,0.0,0.76,-2888.927734375
1671,0.05,0.66,0.0,0.78,-2910.93310546875
1672,0.05,0.66,0.0,0.8,-2925.22802734375
1673,0.05,0.66,0.0,0.82,-2935.22509765625
1674,0.05,0.66,0.0,0.84,-2961.404296875
1675,0.05,0.66,0.0,0.86,-2989.77392578125
1676,0.05,0.66,0.0,0.88,-2996.480224609375
1677,0.05,0.66,0.0,0.9,-3017.96142578125
