mu,rho,ll
0.442478,0.114507,-2037.929199
0.440755,0.116104,-2037.147217
0.440659,0.118357,-2036.888428
0.441283,0.120761,-2037.68396
0.440261,0.122231,-2036.660889
0.440003,0.12188,-2037.787476
0.440003,0.12188,-2036.730957
0.439735,0.122688,-2036.779785
0.440703,0.121504,-2037.132324
0.441201,0.11948,-2037.17395
0.440384,0.119039,-2037.280762
0.440156,0.118304,-2037.210327
0.440582,0.116753,-2037.14563
0.440077,0.115343,-2037.411621
0.440856,0.116946,-2037.806641
0.440168,0.119983,-2036.793335
0.440168,0.119983,-2036.508545
0.4414,0.11795,-2038.756348
0.441141,0.119582,-2037.875122
0.440855,0.118597,-2037.869873
0.440522,0.119225,-2037.505371
0.441937,0.117953,-2037.048096
0.440755,0.117098,-2037.079102
0.441529,0.118925,-2037.7146
0.441805,0.119725,-2037.293457
0.443729,0.118968,-2037.62085
0.441839,0.118202,-2037.795288
0.444595,0.120103,-2037.748169
0.445365,0.119896,-2037.779785
0.442769,0.117888,-2037.948853
0.444576,0.116187,-2037.595947
0.444576,0.116187,-2037.575806
0.444224,0.117391,-2038.119507
0.446899,0.117844,-2037.795166
0.446743,0.119067,-2036.863647
0.444423,0.119838,-2037.90271
0.444423,0.119838,-2036.598633
0.443034,0.120533,-2037.610596
0.441799,0.12128,-2036.616943
0.441799,0.12128,-2037.705811
0.44131,0.122486,-2037.480469
0.440881,0.120497,-2037.553711
0.442146,0.121639,-2037.370728
0.442229,0.121135,-2037.281738
0.442476,0.121446,-2037.767578
0.442986,0.12392,-2038.01709
0.441714,0.124684,-2036.332764
0.442086,0.1256,-2037.386841
0.441396,0.126078,-2037.175049
0.441396,0.126078,-2036.513672
0.442916,0.125609,-2038.508301
0.44124,0.127482,-2038.122314
0.439827,0.12514,-2037.023682
0.440457,0.121903,-2037.295654
0.439454,0.122244,-2037.614014
0.439758,0.123098,-2038.061401
0.439616,0.121881,-2036.683594
0.440224,0.121174,-2036.652588
0.436402,0.118688,-2036.81665
0.435434,0.120053,-2037.984375
0.435434,0.120053,-2036.488647
0.436294,0.117398,-2036.904053
0.434618,0.117885,-2036.307495
0.430343,0.120992,-2038.060913
0.431043,0.120154,-2037.213013
0.430751,0.118622,-2037.862793
0.432071,0.119319,-2037.52478
0.43327,0.117736,-2038.089355
0.433009,0.116914,-2037.494751
0.433201,0.116115,-2038.108521
0.432848,0.118936,-2037.35144
0.432848,0.118936,-2037.586914
0.432136,0.118663,-2037.33313
0.432136,0.118663,-2037.259277
0.432943,0.117093,-2037.279785
0.432943,0.117093,-2036.623779
0.432843,0.120079,-2037.345581
0.434083,0.122114,-2037.016357
0.435919,0.121098,-2037.046631
0.437251,0.121057,-2038.078857
0.436293,0.118691,-2037.273193
0.435125,0.121503,-2037.880371
0.436545,0.123403,-2037.92041
0.437226,0.123866,-2036.900879
0.437051,0.124984,-2037.921387
0.436722,0.126126,-2037.65979
0.435897,0.124997,-2036.3302
0.432453,0.124482,-2036.842407
0.431165,0.122992,-2038.304321
0.431308,0.121597,-2037.694336
0.431308,0.121597,-2036.262573
0.430482,0.120142,-2037.920654
0.430607,0.121314,-2036.998657
0.431239,0.12155,-2036.797119
0.43058,0.120903,-2038.105103
0.431496,0.121352,-2037.15918
0.430635,0.1179,-2036.982422
0.431974,0.116475,-2037.342651
0.431942,0.118604,-2037.997192
0.432036,0.120525,-2037.993042
0.432538,0.123426,-2037.762451
0.433191,0.122157,-2037.090698
0.434956,0.124824,-2037.675903
0.435057,0.12612,-2038.187134
0.43361,0.127135,-2037.576416
0.436474,0.126333,-2037.536133
0.436509,0.1305,-2037.863403
0.436515,0.127133,-2037.681274
0.438078,0.126676,-2036.235107
0.438408,0.12586,-2038.300781
0.439335,0.127196,-2038.140869
0.440107,0.127355,-2037.36377
0.440099,0.128344,-2037.849731
0.440842,0.127683,-2037.042847
0.441474,0.125543,-2037.364868
0.441179,0.126466,-2037.554688
0.440785,0.127526,-2038.221558
0.441581,0.129052,-2037.853516
0.444308,0.131565,-2036.660034
0.448087,0.135031,-2038.380615
0.448397,0.136002,-2038.806396
0.44874,0.137593,-2037.952271
0.450139,0.138312,-2038.252197
0.450139,0.138312,-2037.799805
0.450828,0.139065,-2038.115234
0.450504,0.139522,-2038.440674
0.450658,0.13844,-2038.596436
0.45053,0.137657,-2038.024902
0.449599,0.137017,-2037.646484
0.449599,0.137017,-2037.335693
0.450743,0.139234,-2037.519531
0.452126,0.139411,-2038.801025
0.45236,0.13805,-2039.365234
0.452565,0.143003,-2039.709717
0.452565,0.143003,-2039.577393
0.452565,0.143003,-2038.465332
0.452565,0.143003,-2038.879517
0.451156,0.143058,-2038.942139
0.45118,0.141394,-2038.641602
0.450679,0.142436,-2038.280884
0.449288,0.144743,-2039.023926
0.448528,0.145501,-2039.123535
0.446949,0.144415,-2038.941895
0.446949,0.144415,-2039.227783
0.44751,0.142299,-2038.980347
0.44861,0.143097,-2039.11792
0.450365,0.14031,-2037.866821
0.450765,0.137224,-2038.606934
0.450578,0.138033,-2038.133179
0.44991,0.138239,-2038.156494
0.449968,0.134271,-2037.678467
0.451476,0.13323,-2037.328369
0.451476,0.13323,-2037.290283
0.451476,0.13323,-2037.480957
0.451494,0.133856,-2037.715942
0.451699,0.136822,-2037.993408
0.450972,0.136105,-2038.105713
0.45042,0.1366,-2039.441284
0.45042,0.1366,-2037.566162
0.449919,0.135496,-2037.50415
0.448922,0.136551,-2038.502808
0.450089,0.13832,-2039.077393
0.450845,0.137233,-2038.699707
0.450788,0.13238,-2038.911011
0.452355,0.130379,-2038.394531
0.45182,0.128092,-2037.798706
0.450172,0.128624,-2036.837891
0.44885,0.129389,-2039.21582
0.447753,0.131989,-2037.280762
0.447753,0.131989,-2037.400146
0.447925,0.132926,-2037.749878
0.447448,0.13488,-2038.126953
0.44782,0.135072,-2036.971436
0.44782,0.135072,-2036.829956
0.447736,0.135728,-2038.293457
0.447414,0.135308,-2038.631836
0.446846,0.136107,-2038.394775
0.446667,0.136031,-2037.217651
0.448748,0.137888,-2038.352783
0.448913,0.137036,-2037.758545
0.447013,0.136561,-2037.895874
0.446623,0.135306,-2037.714111
0.445874,0.136156,-2038.054077
0.445874,0.136156,-2037.102661
0.446139,0.135591,-2037.506958
0.448871,0.135292,-2038.122314
0.449446,0.135812,-2037.776001
0.45238,0.136422,-2038.706543
0.454075,0.133886,-2038.728516
0.453835,0.135241,-2036.808105
0.453835,0.135241,-2038.597656
0.453835,0.135241,-2038.927246
0.455114,0.135061,-2039.087646
0.455702,0.13444,-2038.58606
0.45714,0.136174,-2037.837891
0.458953,0.137975,-2039.497803
0.458953,0.137975,-2039.454346
0.458953,0.137975,-2039.142334
0.458953,0.137975,-2039.470093
0.458364,0.135867,-2039.854614
0.457318,0.137486,-2039.352539
0.457792,0.135102,-2038.99646
0.457251,0.135158,-2038.780762
0.457135,0.132203,-2038.80127
0.457135,0.132203,-2038.846924
0.455886,0.132433,-2037.806641
0.455886,0.132433,-2037.893799
0.455834,0.131798,-2038.005859
0.454602,0.133586,-2038.226929
0.454759,0.135225,-2038.845337
0.453221,0.134151,-2038.335327
0.454572,0.133993,-2038.231689
0.455155,0.136157,-2039.419312
0.454386,0.137767,-2039.352295
0.454085,0.137796,-2038.64502
0.453637,0.138098,-2038.369019
0.452735,0.139257,-2038.56543
0.452735,0.139257,-2038.147217
0.453395,0.136576,-2038.435791
0.452702,0.136647,-2038.112793
0.454243,0.13534,-2038.677856
0.454459,0.137213,-2038.666992
0.453762,0.141081,-2038.618164
0.454359,0.138645,-2039.140625
0.454359,0.138645,-2037.964722
0.454359,0.138645,-2038.548462
0.454359,0.138645,-2038.873291
0.454359,0.138645,-2039.027832
0.451845,0.138654,-2038.541504
0.451064,0.138851,-2039.173096
0.451072,0.139884,-2038.393311
0.449976,0.135964,-2038.466064
0.448541,0.135957,-2038.758545
0.447008,0.136373,-2037.710205
0.446091,0.134669,-2037.354858
0.444717,0.135602,-2038.355835
0.444717,0.135602,-2037.536987
0.444717,0.135602,-2038.488403
0.44365,0.130816,-2037.895508
0.441868,0.134335,-2037.397461
0.442378,0.131764,-2036.939697
0.443589,0.132678,-2037.610596
0.443589,0.132678,-2037.90918
0.443449,0.130367,-2036.884399
0.443731,0.131378,-2037.598877
