mu,rho,ll
0.233909,0.153422,-1542.294189
0.234485,0.151891,-1546.814453
0.234485,0.151891,-1546.987549
0.234485,0.151891,-1540.911621
0.234121,0.15395,-1537.816406
0.2336,0.156194,-1541.414307
0.233734,0.156595,-1543.833862
0.233734,0.156595,-1544.1521
0.233734,0.156595,-1545.28125
0.235105,0.157251,-1544.085327
0.235105,0.157251,-1545.206665
0.234433,0.155465,-1540.412109
0.233929,0.156015,-1542.807617
0.233479,0.156185,-1548.564087
0.233479,0.156185,-1541.08606
0.234379,0.154577,-1551.974976
0.234379,0.154577,-1541.209961
0.234379,0.154577,-1550.312012
0.233337,0.156504,-1553.310791
0.232577,0.156804,-1542.594971
0.232639,0.157794,-1542.681641
0.232825,0.158587,-1538.442139
0.232414,0.160188,-1547.867188
0.231725,0.161568,-1540.915649
0.231311,0.161743,-1546.321289
0.233365,0.163271,-1549.619995
0.233365,0.163271,-1548.750122
0.233365,0.163271,-1541.22168
0.233365,0.163271,-1548.191406
0.233216,0.162968,-1549.160645
0.233216,0.162968,-1542.985596
0.233216,0.162968,-1549.253296
0.233216,0.162968,-1544.574707
0.233686,0.161918,-1546.393555
0.233686,0.161918,-1542.277344
0.233686,0.161918,-1544.202271
0.233591,0.161921,-1552.848877
0.234053,0.160662,-1548.338867
0.233001,0.161581,-1541.274658
0.233001,0.161581,-1546.086426
0.233297,0.161483,-1549.183105
0.233572,0.162051,-1540.927734
0.233054,0.162185,-1549.766113
0.233772,0.16305,-1545.484497
0.234431,0.163287,-1549.077515
0.234431,0.163287,-1547.20166
0.234266,0.162114,-1547.100586
0.234561,0.159979,-1538.836182
0.234855,0.160925,-1542.427734
0.234913,0.162481,-1549.168701
0.234913,0.162481,-1540.996582
0.234392,0.162012,-1540.991455
0.233996,0.162253,-1541.223389
0.233996,0.162253,-1548.058838
0.233996,0.162253,-1546.776855
0.234297,0.162043,-1544.60498
0.234297,0.162043,-1551.333374
0.234278,0.162807,-1542.917969
0.234669,0.161632,-1552.386719
0.234669,0.161632,-1544.286377
0.234669,0.161632,-1550.417969
0.234899,0.163731,-1550.425049
0.234899,0.163731,-1546.086426
0.234899,0.163731,-1546.426758
0.233786,0.162439,-1540.950928
0.233531,0.162812,-1542.029541
0.233531,0.162812,-1542.811523
0.233241,0.164157,-1549.064209
0.23353,0.163939,-1560.626465
0.23353,0.163939,-1539.740845
0.23491,0.164764,-1544.692139
0.23581,0.164384,-1545.007812
0.23581,0.164384,-1542.191284
0.235649,0.165006,-1542.618408
0.236407,0.16554,-1546.14978
0.236407,0.16554,-1542.621094
0.236407,0.16554,-1550.157471
0.236742,0.167477,-1553.871094
0.238618,0.168313,-1545.717651
0.238441,0.166795,-1544.035889
0.238441,0.166795,-1545.04248
0.237356,0.16559,-1546.900635
0.237356,0.16559,-1546.661011
0.236738,0.166453,-1548.740723
0.237093,0.168324,-1548.104126
0.237429,0.168781,-1544.63916
0.237429,0.168781,-1547.878784
0.237429,0.168781,-1550.829468
0.237429,0.168781,-1543.723999
0.237429,0.168781,-1547.30127
0.236617,0.168729,-1545.051636
0.236617,0.168729,-1546.998535
0.236224,0.169927,-1550.684814
0.236224,0.169927,-1547.246216
0.23694,0.169522,-1546.243652
0.237658,0.170436,-1548.294434
0.237658,0.170436,-1545.803345
0.237644,0.17211,-1549.872681
0.237347,0.170362,-1548.906006
0.237347,0.170362,-1544.366455
0.237347,0.170362,-1547.279541
0.237347,0.170362,-1545.630615
0.239177,0.169642,-1549.440063
0.238848,0.170376,-1552.097168
0.238848,0.170376,-1547.016357
0.238848,0.170376,-1547.432007
0.238146,0.169375,-1544.796143
0.238641,0.16929,-1552.203735
0.239335,0.16839,-1546.151855
0.237439,0.168022,-1545.867065
0.237858,0.167397,-1547.601074
0.237887,0.168521,-1547.124512
0.237887,0.168521,-1548.005615
0.237887,0.168521,-1543.450684
0.237887,0.168521,-1544.960449
0.238292,0.16948,-1547.536987
0.238292,0.16948,-1544.794922
0.238292,0.16948,-1547.914062
0.238292,0.16948,-1552.962891
0.23742,0.169614,-1549.398682
0.237353,0.171032,-1543.751465
0.237895,0.169917,-1544.527588
0.237556,0.169976,-1549.949707
0.237482,0.170863,-1546.600586
0.236838,0.170918,-1548.143433
0.236939,0.170572,-1544.526855
0.236786,0.171106,-1549.056274
0.236786,0.171106,-1548.16687
0.236786,0.171106,-1544.376099
0.236387,0.170328,-1545.332642
0.236387,0.170328,-1548.454834
0.236716,0.170274,-1548.17749
0.237625,0.170412,-1544.851074
0.238014,0.169336,-1547.908447
0.238014,0.169336,-1546.374023
0.238014,0.169336,-1548.37561
0.238014,0.169336,-1544.498291
0.239484,0.166926,-1547.334473
0.241239,0.165651,-1545.998901
0.241045,0.166052,-1548.81189
0.240841,0.166064,-1551.877563
0.240841,0.166064,-1550.494629
0.240957,0.165083,-1547.730713
0.24032,0.163179,-1547.80542
0.24032,0.163179,-1545.055664
0.239445,0.162581,-1544.790283
0.238515,0.162369,-1542.817017
0.237304,0.162881,-1543.634277
0.237414,0.162721,-1544.374146
0.237414,0.162721,-1544.558472
0.236715,0.16154,-1545.776367
0.237209,0.161384,-1552.069824
0.237247,0.159557,-1541.281128
0.237247,0.159557,-1540.937012
0.237247,0.159557,-1546.335205
0.237247,0.159557,-1548.64978
0.238782,0.16016,-1547.141235
0.239666,0.158854,-1542.895752
0.239393,0.159746,-1544.299561
0.239393,0.159746,-1542.432861
0.240213,0.158186,-1543.554443
0.240213,0.158186,-1543.101318
0.238918,0.160505,-1542.244995
0.2399,0.160656,-1542.903809
0.241248,0.160419,-1547.782104
0.241248,0.160419,-1543.892578
0.241248,0.160419,-1546.171143
0.242732,0.160225,-1547.260986
0.241912,0.159498,-1545.12085
0.24083,0.160113,-1543.58667
0.241125,0.162497,-1545.205078
0.241125,0.162497,-1544.908203
0.241125,0.162497,-1550.016968
0.240803,0.160872,-1544.480713
0.241022,0.163061,-1548.681519
0.241493,0.162398,-1550.249268
0.241493,0.162398,-1544.61792
0.241493,0.162398,-1547.703857
0.241493,0.162398,-1544.828369
0.241493,0.162398,-1549.140503
0.242263,0.161459,-1546.745117
0.242251,0.160901,-1545.272705
0.241728,0.160885,-1544.34314
0.242386,0.161089,-1544.73938
0.242386,0.161089,-1546.285278
0.242386,0.161089,-1545.298828
0.241998,0.160715,-1544.456055
0.241292,0.159558,-1545.418701
0.24222,0.159323,-1544.6427
0.242762,0.158816,-1545.332275
0.242762,0.158816,-1544.007324
0.24312,0.157956,-1545.668457
0.244711,0.15638,-1547.174561
0.245457,0.154004,-1544.787964
0.244657,0.155597,-1546.387207
0.244572,0.156103,-1544.958008
0.244572,0.156103,-1545.047119
0.245296,0.155267,-1545.121582
0.245296,0.155267,-1545.075928
0.245079,0.154304,-1545.935669
0.245079,0.154304,-1544.058838
0.245079,0.154304,-1543.675415
0.245079,0.154304,-1545.175049
0.244973,0.153704,-1543.975586
0.244573,0.154538,-1544.556396
0.243832,0.155633,-1544.279053
0.244102,0.155207,-1543.5177
0.244102,0.155207,-1545.719971
0.244102,0.155207,-1544.347412
0.244293,0.15294,-1543.588135
0.244293,0.15294,-1544.416748
0.244293,0.15294,-1544.084229
0.24337,0.152943,-1543.984375
0.242013,0.14988,-1544.422607
0.241823,0.150194,-1542.311523
0.241835,0.149897,-1542.441772
0.241835,0.149897,-1542.328369
0.241671,0.153228,-1543.996094
0.241668,0.15416,-1542.050415
0.242187,0.155103,-1542.673218
0.242187,0.155103,-1543.76123
0.242136,0.154434,-1542.847412
0.242722,0.153949,-1543.434326
0.242722,0.153949,-1545.61438
0.243519,0.156172,-1544.381836
0.243329,0.155284,-1545.62915
0.243445,0.154785,-1544.488159
0.241761,0.155682,-1542.994873
0.240165,0.155088,-1543.10083
0.240165,0.155088,-1540.759644
0.239291,0.15413,-1543.361572
0.239173,0.154003,-1545.197754
0.238574,0.154699,-1540.639404
0.238574,0.154699,-1542.523682
0.239686,0.154626,-1541.88855
0.239686,0.154626,-1541.677368
0.239686,0.154626,-1541.68042
0.239962,0.151515,-1544.92981
0.239243,0.152831,-1540.845459
0.239243,0.152831,-1540.415161
0.239243,0.152831,-1545.141602
0.238371,0.151362,-1548.186157
0.238817,0.150075,-1548.760376
0.238817,0.150075,-1544.48877
0.239615,0.149556,-1540.029663
0.239615,0.149556,-1542.062134
0.238968,0.149451,-1540.888916
0.239167,0.147651,-1545.415771
0.238191,0.148288,-1540.977905
0.238191,0.148288,-1542.282959
0.239608,0.150354,-1544.432861
0.240012,0.15036,-1542.779663
0.239434,0.150719,-1540.402588
0.239195,0.151039,-1546.5896
0.240357,0.152284,-1541.010376
0.23989,0.153596,-1541.963501
0.23989,0.153596,-1542.249634
0.23989,0.153596,-1541.829712
0.23989,0.153596,-1541.474121
0.240493,0.152447,-1544.771729
0.240672,0.154249,-1542.011719
0.240672,0.154249,-1546.837402
0.240672,0.154249,-1544.204468
0.240672,0.154249,-1541.289307
0.240672,0.154249,-1542.704224
0.241478,0.154181,-1547.259277
0.241906,0.155808,-1543.727783
0.241842,0.156367,-1545.282471
0.241842,0.156367,-1543.34021
0.241842,0.156367,-1542.988159
0.241842,0.156367,-1542.314453
0.240723,0.156271,-1542.729736
0.241277,0.15469,-1542.449707
0.241277,0.15469,-1542.559814
0.241277,0.15469,-1546.820068
0.241091,0.155397,-1542.254395
0.241066,0.153896,-1541.645752
0.241066,0.153896,-1542.270508
0.241066,0.153896,-1544.222534
0.241517,0.153548,-1545.294189
0.241891,0.154354,-1543.842773
0.241891,0.154354,-1544.512451
0.241891,0.154354,-1542.80603
0.241891,0.154354,-1542.837158
0.241891,0.154354,-1544.541016
0.243272,0.154365,-1543.685059
0.243391,0.155032,-1547.757324
0.243416,0.157208,-1545.098877
0.24314,0.157274,-1546.0802
0.243244,0.157521,-1547.102295
0.243169,0.158472,-1549.124756
0.244976,0.157545,-1545.124512
0.245976,0.156462,-1545.931152
0.245976,0.156462,-1546.108887
0.245976,0.156462,-1545.48938
0.244784,0.154743,-1546.656494
0.244784,0.154743,-1544.448486
0.243898,0.156337,-1544.50647
0.243543,0.15647,-1546.418701
0.24367,0.156013,-1549.330566
0.24367,0.156013,-1544.262451
0.24367,0.156013,-1545.19519
0.243061,0.157506,-1545.123047
0.243146,0.158416,-1544.563477
0.243146,0.158416,-1546.523926
0.24362,0.157732,-1546.859863
