idx,alpha,mu,omega,rho,loglike
0,0.05,0.01,0.0,1.0,-inf
1,0.05,0.02,0.0,1.0,-inf
2,0.05,0.03,0.0,1.0,-inf
3,0.05,0.04,0.0,1.0,-inf
4,0.05,0.05,0.0,1.0,-inf
5,0.05,0.06,0.0,1.0,-inf
6,0.05,0.07,0.0,1.0,-inf
7,0.05,0.08,0.0,1.0,-inf
8,0.05,0.09,0.0,1.0,-inf
9,0.05,0.1,0.0,1.0,-inf
10,0.05,0.11,0.0,1.0,-1972.4530029296875
11,0.05,0.12,0.0,1.0,-1797.396240234375
12,0.05,0.13,0.0,1.0,-1702.90673828125
13,0.05,0.14,0.0,1.0,-1525.429443359375
14,0.05,0.15,0.0,1.0,-1542.858642578125
15,0.05,0.16,0.0,1.0,-1464.482177734375
16,0.05,0.17,0.0,1.0,-1431.351318359375
17,0.05,0.18,0.0,1.0,-1362.5469970703125
18,0.05,0.19,0.0,1.0,-1281.18310546875
19,0.05,0.2,0.0,1.0,-1232.908447265625
20,0.05,0.21,0.0,1.0,-1260.426025390625
21,0.05,0.22,0.0,1.0,-1175.750732421875
22,0.05,0.23,0.0,1.0,-1142.462890625
23,0.05,0.24,0.0,1.0,-1072.0445556640625
24,0.05,0.25,0.0,1.0,-1048.821044921875
25,0.05,0.26,0.0,1.0,-932.7134399414062
26,0.05,0.27,0.0,1.0,-959.4783325195312
27,0.05,0.28,0.0,1.0,-926.194580078125
28,0.05,0.29,0.0,1.0,-877.46337890625
29,0.05,0.3,0.0,1.0,-836.2457275390625
30,0.05,0.31,0.0,1.0,-849.068115234375
31,0.05,0.32,0.0,1.0,-832.0809326171875
32,0.05,0.33,0.0,1.0,-823.1090698242188
33,0.05,0.34,0.0,1.0,-820.03759765625
34,0.05,0.35,0.0,1.0,-818.298095703125
35,0.05,0.36,0.0,1.0,-817.704345703125
36,0.05,0.37,0.0,1.0,-815.7718505859375
37,0.05,0.38,0.0,1.0,-819.4263916015625
38,0.05,0.39,0.0,1.0,-818.955322265625
39,0.05,0.4,0.0,1.0,-819.0587158203125
40,0.05,0.41,0.0,1.0,-821.5296630859375
41,0.05,0.42,0.0,1.0,-823.2437133789062
42,0.05,0.43,0.0,1.0,-826.34326171875
43,0.05,0.44,0.0,1.0,-824.005615234375
44,0.05,0.45,0.0,1.0,-826.388427734375
45,0.05,0.46,0.0,1.0,-829.762451171875
46,0.05,0.47,0.0,1.0,-832.3969116210938
47,0.05,0.48,0.0,1.0,-831.465087890625
48,0.05,0.49,0.0,1.0,-831.974853515625
49,0.05,0.5,0.0,1.0,-837.522216796875
50,0.05,0.51,0.0,1.0,-834.5598754882812
51,0.05,0.52,0.0,1.0,-837.5558471679688
52,0.05,0.53,0.0,1.0,-838.123291015625
53,0.05,0.54,0.0,1.0,-843.9058837890625
54,0.05,0.55,0.0,1.0,-842.0528564453125
55,0.05,0.56,0.0,1.0,-851.1395263671875
56,0.05,0.57,0.0,1.0,-845.7542724609375
57,0.05,0.58,0.0,1.0,-844.84375
58,0.05,0.59,0.0,1.0,-845.8800048828125
59,0.05,0.6,0.0,1.0,-848.3694458007812
60,0.05,0.61,0.0,1.0,-849.939453125
61,0.05,0.62,0.0,1.0,-848.8840942382812
62,0.05,0.63,0.0,1.0,-856.0956420898438
63,0.05,0.64,0.0,1.0,-854.2661743164062
64,0.05,0.65,0.0,1.0,-859.8275146484375
65,0.05,0.66,0.0,1.0,-855.0592041015625
66,0.05,0.67,0.0,1.0,-857.1559448242188
67,0.05,0.68,0.0,1.0,-857.456298828125
68,0.05,0.69,0.0,1.0,-858.6426391601562
69,0.05,0.7,0.0,1.0,-860.138671875
70,0.05,0.71,0.0,1.0,-860.2503662109375
71,0.05,0.72,0.0,1.0,-863.6229858398438
72,0.05,0.73,0.0,1.0,-864.76953125
73,0.05,0.74,0.0,1.0,-863.7477416992188
74,0.05,0.75,0.0,1.0,-869.9519653320312
75,0.05,0.76,0.0,1.0,-863.7716674804688
76,0.05,0.77,0.0,1.0,-866.2662353515625
77,0.05,0.78,0.0,1.0,-871.4425048828125
78,0.05,0.79,0.0,1.0,-866.4970703125
79,0.05,0.8,0.0,1.0,-871.5245361328125
80,0.05,0.81,0.0,1.0,-870.6842041015625
81,0.05,0.82,0.0,1.0,-872.38232421875
82,0.05,0.83,0.0,1.0,-868.8458251953125
83,0.05,0.84,0.0,1.0,-870.3673706054688
84,0.05,0.85,0.0,1.0,-880.50390625
85,0.05,0.86,0.0,1.0,-885.64306640625
86,0.05,0.87,0.0,1.0,-876.7533569335938
87,0.05,0.88,0.0,1.0,-877.5578002929688
88,0.05,0.89,0.0,1.0,-875.81884765625
89,0.05,0.9,0.0,1.0,-878.4749755859375
90,0.05,0.91,0.0,1.0,-878.1103515625
91,0.05,0.92,0.0,1.0,-879.301025390625
92,0.05,0.93,0.0,1.0,-884.1204833984375
93,0.05,0.94,0.0,1.0,-888.2646484375
94,0.05,0.95,0.0,1.0,-881.61279296875
95,0.05,0.96,0.0,1.0,-880.7247314453125
96,0.05,0.97,0.0,1.0,-883.9962768554688
97,0.05,0.98,0.0,1.0,-883.4609375
98,0.05,0.99,0.0,1.0,-909.267333984375
99,0.05,1.0,0.0,1.0,-884.4525146484375
