idx,alpha,mu,omega,loglike
422,0.01,1.36,0.8846153846153847,-inf
423,0.01,1.36,0.9230769230769231,-inf
424,0.01,1.36,0.9615384615384616,-inf
425,0.01,1.44,0.038461538461538464,1.4203992936756355e+21
426,0.01,1.44,0.07692307692307693,1.4203992936756355e+21
427,0.01,1.44,0.11538461538461539,1.4203992936756355e+21
428,0.01,1.44,0.15384615384615385,1.4203992936756355e+21
429,0.01,1.44,0.19230769230769232,1.4480694097861998e+21
430,0.01,1.44,0.23076923076923078,1.4203992936756355e+21
431,0.01,1.44,0.2692307692307693,1.4203992936756355e+21
432,0.01,1.44,0.3076923076923077,1.4203992936756355e+21
433,0.01,1.44,0.34615384615384615,1.4203992936756355e+21
434,0.01,1.44,0.38461538461538464,1.4203992936756355e+21
435,0.01,1.44,0.42307692307692313,1.4203992936756355e+21
436,0.01,1.44,0.46153846153846156,1.4203992936756355e+21
437,0.01,1.44,0.5,1.4480694097861998e+21
438,0.01,1.44,0.5384615384615385,1.4203992936756355e+21
439,0.01,1.44,0.576923076923077,1.4203992936756355e+21
440,0.01,1.44,0.6153846153846154,1.4480694097861998e+21
441,0.01,1.44,0.6538461538461539,1.4203992936756355e+21
442,0.01,1.44,0.6923076923076923,1.4203992936756355e+21
443,0.01,1.44,0.7307692307692308,1.4203992936756355e+21
444,0.01,1.44,0.7692307692307693,1.4203992936756355e+21
445,0.01,1.44,0.8076923076923077,1.4480694097861998e+21
446,0.01,1.44,0.8461538461538463,-inf
447,0.01,1.44,0.8846153846153847,-inf
448,0.01,1.44,0.9230769230769231,-inf
449,0.01,1.44,0.9615384615384616,-inf
450,0.01,1.52,0.038461538461538464,1.4203992936756355e+21
451,0.01,1.52,0.07692307692307693,1.4203992936756355e+21
452,0.01,1.52,0.11538461538461539,1.4203992936756355e+21
453,0.01,1.52,0.15384615384615385,1.4203992936756355e+21
454,0.01,1.52,0.19230769230769232,1.4203992936756355e+21
455,0.01,1.52,0.23076923076923078,1.4203992936756355e+21
456,0.01,1.52,0.2692307692307693,1.4203992936756355e+21
457,0.01,1.52,0.3076923076923077,1.4203992936756355e+21
458,0.01,1.52,0.34615384615384615,1.4203992936756355e+21
459,0.01,1.52,0.38461538461538464,1.4203992936756355e+21
460,0.01,1.52,0.42307692307692313,1.4203992936756355e+21
461,0.01,1.52,0.46153846153846156,1.4203992936756355e+21
462,0.01,1.52,0.5,1.4203992936756355e+21
463,0.01,1.52,0.5384615384615385,1.4203992936756355e+21
464,0.01,1.52,0.576923076923077,1.4203992936756355e+21
465,0.01,1.52,0.6153846153846154,1.4203992936756355e+21
466,0.01,1.52,0.6538461538461539,1.4203992936756355e+21
467,0.01,1.52,0.6923076923076923,1.4203992936756355e+21
468,0.01,1.52,0.7307692307692308,1.4203992936756355e+21
469,0.01,1.52,0.7692307692307693,1.4203992936756355e+21
470,0.01,1.52,0.8076923076923077,1.4480694097861998e+21
471,0.01,1.52,0.8461538461538463,1.4203992936756355e+21
472,0.01,1.52,0.8846153846153847,-inf
473,0.01,1.52,0.9230769230769231,-inf
474,0.01,1.52,0.9615384615384616,-inf
475,0.01,1.6,0.038461538461538464,1.4203992936756355e+21
476,0.01,1.6,0.07692307692307693,1.4203992936756355e+21
477,0.01,1.6,0.11538461538461539,1.4203992936756355e+21
478,0.01,1.6,0.15384615384615385,1.4203992936756355e+21
479,0.01,1.6,0.19230769230769232,1.4203992936756355e+21
480,0.01,1.6,0.23076923076923078,1.4480694097861998e+21
481,0.01,1.6,0.2692307692307693,1.4203992936756355e+21
482,0.01,1.6,0.3076923076923077,1.4203992936756355e+21
483,0.01,1.6,0.34615384615384615,1.4203992936756355e+21
484,0.01,1.6,0.38461538461538464,1.4203992936756355e+21
485,0.01,1.6,0.42307692307692313,1.4480694097861998e+21
486,0.01,1.6,0.46153846153846156,1.4480694097861998e+21
487,0.01,1.6,0.5,1.4203992936756355e+21
488,0.01,1.6,0.5384615384615385,1.4480694097861998e+21
489,0.01,1.6,0.576923076923077,1.4203992936756355e+21
490,0.01,1.6,0.6153846153846154,1.4203992936756355e+21
491,0.01,1.6,0.6538461538461539,1.4203992936756355e+21
492,0.01,1.6,0.6923076923076923,1.4203992936756355e+21
493,0.01,1.6,0.7307692307692308,1.4203992936756355e+21
494,0.01,1.6,0.7692307692307693,1.4203992936756355e+21
