delta,threshold,n_points,n_components
0.5,-1688.1696746295534,3,3
1.0,-1688.6696746295534,4,4
2.0,-1689.6696746295534,13,3
5.0,-1692.6696746295534,38,1
10.0,-1697.6696746295534,77,1
20.0,-1707.6696746295534,175,1
