mu,rho,ll
0.369102,0.251819,-2624.61084
0.369102,0.251819,-2625.985352
0.367934,0.251435,-2625.281982
0.368393,0.253045,-2627.497803
0.368393,0.253045,-2625.63208
0.368393,0.253045,-2624.657227
0.368393,0.253045,-2623.59668
0.368115,0.249518,-2626.108887
0.368115,0.249518,-2621.241211
0.368115,0.249518,-2627.415283
0.368923,0.250041,-2630.340332
0.367057,0.253289,-2633.359375
0.367057,0.253289,-2625.401855
0.366992,0.253406,-2630.546387
0.366884,0.252697,-2624.178955
0.365606,0.25469,-2625.658203
0.365606,0.25469,-2629.791992
0.365606,0.25469,-2623.006104
0.364981,0.254589,-2624.007812
0.365506,0.255838,-2627.272949
0.366927,0.254921,-2632.332031
0.36567,0.253372,-2625.07666
0.36567,0.253372,-2632.275879
0.36567,0.253372,-2624.266602
0.36567,0.253372,-2632.874023
0.364807,0.256873,-2621.328125
0.365058,0.256395,-2626.782715
0.364098,0.260867,-2628.932861
0.363778,0.257618,-2628.796875
0.363778,0.257618,-2624.760742
0.365147,0.257752,-2625.020508
0.366906,0.255456,-2632.518066
0.367003,0.257778,-2628.480225
0.366895,0.256832,-2631.876953
0.366409,0.25835,-2625.08252
0.366409,0.25835,-2623.364258
0.36693,0.258799,-2621.984375
0.36693,0.258799,-2623.431885
0.365371,0.255961,-2623.477539
0.365371,0.255961,-2626.785156
0.365371,0.255961,-2622.339844
0.364767,0.25506,-2628.652588
0.363486,0.253901,-2634.75
0.364273,0.252911,-2638.082031
0.366099,0.254367,-2627.07959
0.365608,0.254383,-2622.871582
0.365772,0.258471,-2633.299316
0.365676,0.262053,-2624.036133
0.365676,0.262053,-2634.840332
0.365272,0.262561,-2625.048828
0.365272,0.262561,-2632.833496
0.36503,0.260719,-2636.6521
0.364321,0.260603,-2631.336426
0.364321,0.260603,-2633.996094
0.363633,0.260058,-2625.230713
0.363633,0.260058,-2632.683838
0.365602,0.25506,-2633.260498
0.365602,0.25506,-2627.209473
0.36515,0.252734,-2622.174561
0.36515,0.252734,-2629.997803
0.364465,0.24672,-2622.330078
0.364465,0.24672,-2623.990723
0.364536,0.243315,-2622.221924
0.36388,0.239837,-2627.887695
0.36435,0.241334,-2622.654053
0.36435,0.241334,-2625.356201
0.363193,0.244075,-2623.035156
0.363193,0.244075,-2623.087891
0.363193,0.244075,-2624.794678
0.363193,0.244075,-2631.748047
0.362325,0.243893,-2635.052246
0.362325,0.243893,-2629.386963
0.362325,0.243893,-2629.59375
0.362325,0.243893,-2632.022949
0.361695,0.244331,-2627.42334
0.363149,0.239401,-2627.415771
0.363149,0.239401,-2628.892334
0.364898,0.238261,-2621.275879
0.364898,0.238261,-2629.598145
0.364898,0.238261,-2627.453125
0.363654,0.241167,-2626.731689
0.363466,0.238959,-2623.078857
0.363466,0.238959,-2620.482178
0.363466,0.238959,-2624.039795
0.364182,0.241403,-2631.417969
0.365085,0.241429,-2631.779785
0.36718,0.240076,-2625.374268
0.36718,0.240076,-2622.136475
0.367258,0.241556,-2628.498047
0.36787,0.243223,-2629.031982
0.36787,0.243223,-2623.409668
0.366501,0.240873,-2621.516113
0.366798,0.236577,-2626.720703
0.366798,0.236577,-2621.126709
0.366798,0.236577,-2621.342773
0.366798,0.236577,-2625.71582
0.366798,0.236577,-2631.074219
0.368019,0.239679,-2636.302734
0.368019,0.239679,-2630.025879
0.367521,0.238398,-2627.694824
0.367521,0.238398,-2623.900635
0.36867,0.239377,-2623.401367
0.36867,0.239377,-2625.258789
0.36867,0.239377,-2631.308105
0.36867,0.239377,-2626.025391
0.369605,0.235339,-2629.410156
0.369605,0.235339,-2624.781982
0.368243,0.237775,-2622.826172
0.368243,0.237775,-2622.090332
0.368243,0.237775,-2622.774414
0.368942,0.236971,-2626.311768
0.368073,0.230567,-2625.315674
0.368073,0.230567,-2628.049805
0.368073,0.230567,-2625.770264
0.368073,0.230567,-2626.174316
0.367282,0.228172,-2626.183105
0.367129,0.227997,-2629.80127
0.367129,0.227997,-2624.213867
0.367129,0.227997,-2627.793213
0.367129,0.227997,-2627.657227
0.367652,0.227413,-2624.942871
0.36825,0.227604,-2622.979004
0.36825,0.227604,-2631.246338
0.36825,0.227604,-2624.241455
0.36825,0.227604,-2625.657227
0.36825,0.227604,-2625.412109
0.36825,0.227604,-2623.525391
0.368346,0.228747,-2630.339844
0.368346,0.228747,-2629.455078
0.366183,0.230221,-2621.947998
0.36515,0.22531,-2624.668213
0.364315,0.224701,-2627.778809
0.362841,0.226904,-2621.184082
0.361914,0.227121,-2629.709961
0.361914,0.227121,-2634.772461
0.361733,0.226366,-2626.20459
0.363199,0.224924,-2634.381592
0.363199,0.224924,-2628.507812
0.363199,0.224924,-2626.251465
0.363199,0.224924,-2624.085449
0.363199,0.224924,-2632.409424
0.365031,0.226542,-2623.580322
0.36677,0.225681,-2624.887695
0.368086,0.225108,-2627.027832
0.36586,0.224769,-2628.882324
0.36586,0.224769,-2624.980957
0.364809,0.223566,-2628.939453
0.364809,0.223566,-2635.432617
0.364809,0.223566,-2626.250977
0.366542,0.226267,-2622.077148
0.368041,0.220812,-2624.045654
0.368041,0.220812,-2635.940674
0.368308,0.218295,-2631.133301
0.368471,0.217133,-2633.118652
0.368729,0.217596,-2626.086914
0.367822,0.218136,-2631.073242
0.368637,0.219921,-2623.942383
0.369429,0.223835,-2630.405518
0.370943,0.221557,-2628.239502
0.370443,0.222331,-2624.04126
0.371149,0.221239,-2626.718994
0.371322,0.218507,-2628.272461
0.371813,0.219288,-2627.418945
0.371813,0.219288,-2624.106934
0.371756,0.220117,-2623.60791
0.371756,0.220117,-2625.064697
0.370871,0.221597,-2623.123779
0.370039,0.22575,-2628.898926
0.370039,0.22575,-2629.000977
0.371071,0.228911,-2630.424561
0.3719,0.231565,-2626.348877
0.3719,0.231565,-2624.250732
0.372529,0.227513,-2628.835693
0.372529,0.227513,-2624.377686
0.373141,0.224385,-2625.577148
0.372178,0.223706,-2625.541504
0.373614,0.225892,-2630.75
0.373614,0.225892,-2624.763184
0.373614,0.225892,-2626.52002
0.373614,0.225892,-2625.719727
0.373614,0.225892,-2626.645508
0.370047,0.224422,-2623.650635
0.369929,0.225143,-2625.936523
0.371202,0.225173,-2624.569824
0.371917,0.220452,-2630.027832
0.372032,0.217249,-2626.864746
0.372032,0.217249,-2626.634766
0.373408,0.219125,-2626.953125
0.373125,0.225281,-2624.152832
