idx,alpha,mu,omega,rho,loglike
1795,0.04,0.72,0.0,0.2,-2778.11083984375
1796,0.04,0.72,0.0,0.22,-2775.2353515625
1797,0.04,0.72,0.0,0.24,-2773.7529296875
1798,0.04,0.72,0.0,0.26,-2777.661865234375
1799,0.04,0.72,0.0,0.28,-2778.164794921875
1800,0.04,0.72,0.0,0.3,-2783.849365234375
1801,0.04,0.72,0.0,0.32,-2785.86865234375
1802,0.04,0.72,0.0,0.34,-2790.704345703125
1803,0.04,0.72,0.0,0.36,-2796.72509765625
1804,0.04,0.72,0.0,0.38,-2802.572998046875
1805,0.04,0.72,0.0,0.4,-2808.654296875
1806,0.04,0.72,0.0,0.42,-2813.932861328125
1807,0.04,0.72,0.0,0.44,-2821.51171875
1808,0.04,0.72,0.0,0.46,-2832.013671875
1809,0.04,0.72,0.0,0.48,-2838.84912109375
1810,0.04,0.72,0.0,0.5,-2848.2021484375
1811,0.04,0.72,0.0,0.52,-2856.14208984375
1812,0.04,0.72,0.0,0.54,-2863.51806640625
1813,0.04,0.72,0.0,0.56,-2873.142578125
1814,0.04,0.72,0.0,0.58,-2887.121826171875
1815,0.04,0.72,0.0,0.6,-2895.884521484375
1816,0.04,0.72,0.0,0.62,-2906.208984375
1817,0.04,0.72,0.0,0.64,-2918.5986328125
1818,0.04,0.72,0.0,0.66,-2922.97412109375
1819,0.04,0.72,0.0,0.68,-2934.59033203125
1820,0.04,0.72,0.0,0.7,-2946.435791015625
1821,0.04,0.72,0.0,0.72,-2956.70556640625
1822,0.04,0.72,0.0,0.74,-2970.19775390625
1823,0.04,0.72,0.0,0.76,-2982.935791015625
1824,0.04,0.72,0.0,0.78,-2994.86767578125
1825,0.04,0.72,0.0,0.8,-2998.66455078125
1826,0.04,0.72,0.0,0.82,-3012.734619140625
1827,0.04,0.72,0.0,0.84,-3021.9287109375
1828,0.04,0.72,0.0,0.86,-3039.611572265625
1829,0.04,0.72,0.0,0.88,-3057.532958984375
1830,0.04,0.72,0.0,0.9,-3063.474853515625
1831,0.04,0.72,0.0,0.92,-3073.20458984375
1832,0.04,0.72,0.0,0.94,-3087.075439453125
1833,0.04,0.72,0.0,0.96,-3093.541748046875
1834,0.04,0.72,0.0,0.98,-3107.0517578125
1835,0.04,0.72,0.0,1.0,-3125.935791015625
1836,0.04,0.74,0.0,0.0,-81248.09375
1837,0.04,0.74,0.0,0.02,-3066.13671875
1838,0.04,0.74,0.0,0.04,-2957.73828125
1839,0.04,0.74,0.0,0.06,-2899.090576171875
1840,0.04,0.74,0.0,0.08,-2861.05859375
1841,0.04,0.74,0.0,0.1,-2836.45263671875
1842,0.04,0.74,0.0,0.12,-2816.98583984375
1843,0.04,0.74,0.0,0.14,-2804.560546875
1844,0.04,0.74,0.0,0.16,-2794.320068359375
1845,0.04,0.74,0.0,0.18,-2788.999755859375
1846,0.04,0.74,0.0,0.2,-2786.120361328125
1847,0.04,0.74,0.0,0.22,-2781.994384765625
1848,0.04,0.74,0.0,0.24,-2783.30908203125
1849,0.04,0.74,0.0,0.26,-2782.797607421875
1850,0.04,0.74,0.0,0.28,-2785.7509765625
1851,0.04,0.74,0.0,0.3,-2790.10498046875
1852,0.04,0.74,0.0,0.32,-2792.49267578125
1853,0.04,0.74,0.0,0.34,-2797.34375
1854,0.04,0.74,0.0,0.36,-2802.8876953125
1855,0.04,0.74,0.0,0.38,-2807.16552734375
1856,0.04,0.74,0.0,0.4,-2815.514404296875
1857,0.04,0.74,0.0,0.42,-2823.3134765625
1858,0.04,0.74,0.0,0.44,-2829.28466796875
1859,0.04,0.74,0.0,0.46,-2840.39892578125
1860,0.04,0.74,0.0,0.48,-2846.01171875
1861,0.04,0.74,0.0,0.5,-2856.485107421875
1862,0.04,0.74,0.0,0.52,-2862.18701171875
1863,0.04,0.74,0.0,0.54,-2873.310791015625
1864,0.04,0.74,0.0,0.56,-2881.0400390625
1865,0.04,0.74,0.0,0.58,-2890.88330078125
1866,0.04,0.74,0.0,0.6,-2901.15625
1867,0.04,0.74,0.0,0.62,-2911.634765625
1868,0.04,0.74,0.0,0.64,-2921.885986328125
1869,0.04,0.74,0.0,0.66,-2932.20361328125
1870,0.04,0.74,0.0,0.68,-2941.1005859375
1871,0.04,0.74,0.0,0.7,-2956.017333984375
1872,0.04,0.74,0.0,0.72,-2962.950439453125
1873,0.04,0.74,0.0,0.74,-2977.33642578125
1874,0.04,0.74,0.0,0.76,-2984.208984375
1875,0.04,0.74,0.0,0.78,-2998.2578125
1876,0.04,0.74,0.0,0.8,-3009.387451171875
1877,0.04,0.74,0.0,0.82,-3022.76953125
1878,0.04,0.74,0.0,0.84,-3038.76171875
1879,0.04,0.74,0.0,0.86,-3041.40087890625
1880,0.04,0.74,0.0,0.88,-3053.83740234375
1881,0.04,0.74,0.0,0.9,-3065.576416015625
1882,0.04,0.74,0.0,0.92,-3082.404052734375
1883,0.04,0.74,0.0,0.94,-3089.35205078125
1884,0.04,0.74,0.0,0.96,-3101.787109375
1885,0.04,0.74,0.0,0.98,-3129.0615234375
1886,0.04,0.74,0.0,1.0,-3140.02490234375
1887,0.04,0.76,0.0,0.0,-80942.765625
1888,0.04,0.76,0.0,0.02,-3073.6630859375
1889,0.04,0.76,0.0,0.04,-2964.27783203125
1890,0.04,0.76,0.0,0.06,-2908.773193359375
1891,0.04,0.76,0.0,0.08,-2871.7451171875
1892,0.04,0.76,0.0,0.1,-2843.58154296875
1893,0.04,0.76,0.0,0.12,-2823.9248046875
1894,0.04,0.76,0.0,0.14,-2809.366943359375
1895,0.04,0.76,0.0,0.16,-2802.907958984375
1896,0.04,0.76,0.0,0.18,-2796.59765625
1897,0.04,0.76,0.0,0.2,-2792.153564453125
1898,0.04,0.76,0.0,0.22,-2790.693359375
1899,0.04,0.76,0.0,0.24,-2789.230224609375
1900,0.04,0.76,0.0,0.26,-2791.408203125
1901,0.04,0.76,0.0,0.28,-2793.3134765625
1902,0.04,0.76,0.0,0.3,-2796.302978515625
1903,0.04,0.76,0.0,0.32,-2799.3671875
1904,0.04,0.76,0.0,0.34,-2802.94921875
1905,0.04,0.76,0.0,0.36,-2808.70361328125
1906,0.04,0.76,0.0,0.38,-2817.09423828125
1907,0.04,0.76,0.0,0.4,-2823.270751953125
1908,0.04,0.76,0.0,0.42,-2830.423583984375
1909,0.04,0.76,0.0,0.44,-2838.03759765625
1910,0.04,0.76,0.0,0.46,-2843.50634765625
1911,0.04,0.76,0.0,0.48,-2851.644775390625
1912,0.04,0.76,0.0,0.5,-2861.157470703125
1913,0.04,0.76,0.0,0.52,-2868.232666015625
1914,0.04,0.76,0.0,0.54,-2881.331298828125
1915,0.04,0.76,0.0,0.56,-2890.25732421875
1916,0.04,0.76,0.0,0.58,-2901.810302734375
1917,0.04,0.76,0.0,0.6,-2909.656982421875
1918,0.04,0.76,0.0,0.62,-2917.60986328125
1919,0.04,0.76,0.0,0.64,-2929.262451171875
1920,0.04,0.76,0.0,0.66,-2941.01416015625
1921,0.04,0.76,0.0,0.68,-2953.321533203125
1922,0.04,0.76,0.0,0.7,-2962.27734375
1923,0.04,0.76,0.0,0.72,-2973.39306640625
1924,0.04,0.76,0.0,0.74,-2985.9765625
1925,0.04,0.76,0.0,0.76,-2993.89599609375
1926,0.04,0.76,0.0,0.78,-3000.114990234375
1927,0.04,0.76,0.0,0.8,-3018.85205078125
1928,0.04,0.76,0.0,0.82,-3028.576171875
1929,0.04,0.76,0.0,0.84,-3044.8486328125
1930,0.04,0.76,0.0,0.86,-3052.38232421875
1931,0.04,0.76,0.0,0.88,-3061.682373046875
1932,0.04,0.76,0.0,0.9,-3079.689697265625
1933,0.04,0.76,0.0,0.92,-3091.708251953125
1934,0.04,0.76,0.0,0.94,-3096.04638671875
1935,0.04,0.76,0.0,0.96,-3110.421875
1936,0.04,0.76,0.0,0.98,-3120.826904296875
1937,0.04,0.76,0.0,1.0,-3133.73193359375
1938,0.04,0.78,0.0,0.0,-80264.09375
1939,0.04,0.78,0.0,0.02,-3078.992431640625
1940,0.04,0.78,0.0,0.04,-2975.312255859375
1941,0.04,0.78,0.0,0.06,-2911.380859375
1942,0.04,0.78,0.0,0.08,-2873.5205078125
1943,0.04,0.78,0.0,0.1,-2848.621826171875
1944,0.04,0.78,0.0,0.12,-2832.14453125
1945,0.04,0.78,0.0,0.14,-2817.2548828125
1946,0.04,0.78,0.0,0.16,-2808.626953125
1947,0.04,0.78,0.0,0.18,-2803.3486328125
1948,0.04,0.78,0.0,0.2,-2797.15576171875
1949,0.04,0.78,0.0,0.22,-2795.022216796875
1950,0.04,0.78,0.0,0.24,-2795.7265625
1951,0.04,0.78,0.0,0.26,-2797.2333984375
1952,0.04,0.78,0.0,0.28,-2798.85205078125
1953,0.04,0.78,0.0,0.3,-2803.182861328125
1954,0.04,0.78,0.0,0.32,-2807.66259765625
1955,0.04,0.78,0.0,0.34,-2811.672119140625
1956,0.04,0.78,0.0,0.36,-2816.427734375
1957,0.04,0.78,0.0,0.38,-2821.939453125
1958,0.04,0.78,0.0,0.4,-2828.73828125
1959,0.04,0.78,0.0,0.42,-2834.39306640625
1960,0.04,0.78,0.0,0.44,-2843.95703125
1961,0.04,0.78,0.0,0.46,-2849.18701171875
1962,0.04,0.78,0.0,0.48,-2860.34814453125
1963,0.04,0.78,0.0,0.5,-2866.50634765625
1964,0.04,0.78,0.0,0.52,-2878.277587890625
1965,0.04,0.78,0.0,0.54,-2889.114501953125
1966,0.04,0.78,0.0,0.56,-2894.736328125
1967,0.04,0.78,0.0,0.58,-2906.748046875
1968,0.04,0.78,0.0,0.6,-2916.813232421875
