mu,rho,ll
0.284556,0.058122,-1406.906982
0.28339,0.062171,-1405.849731
0.281782,0.060379,-1406.207886
0.285069,0.060685,-1405.867432
0.283209,0.060131,-1406.528076
0.282531,0.063348,-1405.957275
0.282531,0.063348,-1406.219482
0.282531,0.063348,-1405.869385
0.281548,0.062501,-1406.011353
0.285156,0.063606,-1406.120605
0.283673,0.067276,-1406.229004
0.283147,0.065485,-1406.305664
0.287411,0.065513,-1408.190186
0.287476,0.065898,-1407.070557
0.287476,0.065898,-1406.751343
0.287826,0.067494,-1406.015381
0.290268,0.067781,-1406.686523
0.289407,0.071443,-1406.626343
0.29144,0.071284,-1406.717529
0.295758,0.069628,-1407.087402
0.295188,0.072894,-1407.293457
0.296337,0.079563,-1408.252197
0.296337,0.079563,-1408.306152
0.300522,0.077776,-1409.42749
0.293762,0.076673,-1408.078247
0.293339,0.074846,-1408.145508
0.294104,0.080098,-1407.093994
0.289836,0.081522,-1407.42041
0.290956,0.078028,-1407.585205
0.287488,0.081713,-1407.162476
0.287488,0.081713,-1407.204468
0.284928,0.082435,-1406.930176
0.283629,0.079542,-1406.266235
0.283629,0.079542,-1405.567139
0.28138,0.077184,-1406.498779
0.28138,0.077184,-1405.028076
0.277379,0.074747,-1405.452393
0.281298,0.074466,-1405.485962
0.281854,0.076154,-1405.331299
0.28312,0.077859,-1405.307373
0.282058,0.081654,-1405.889282
0.284326,0.082371,-1406.292358
0.279596,0.087997,-1407.086182
0.278556,0.088318,-1407.526611
0.277127,0.08592,-1406.751709
0.272313,0.079226,-1404.915894
0.272342,0.079604,-1405.861816
0.27076,0.077433,-1405.88501
0.270727,0.074432,-1405.198608
0.269456,0.077172,-1404.6698
0.270081,0.074013,-1405.662964
0.269354,0.071722,-1404.877686
0.269354,0.071722,-1405.545166
0.269354,0.071722,-1404.675171
0.26876,0.073329,-1404.8479
0.264723,0.072301,-1405.668457
0.269194,0.068349,-1404.675293
0.271803,0.071485,-1405.028076
0.271468,0.073418,-1404.594849
0.272938,0.073498,-1405.541138
0.270779,0.077,-1404.109863
0.270779,0.077,-1405.63269
0.272977,0.077496,-1404.732056
