idx,alpha,mu,omega,rho,loglike
1955,0.05,0.78,0.0,0.34,-1752.147216796875
1956,0.05,0.78,0.0,0.36,-1774.382080078125
1957,0.05,0.78,0.0,0.38,-1796.36962890625
1958,0.05,0.78,0.0,0.4,-1819.4710693359375
1959,0.05,0.78,0.0,0.42,-1838.649169921875
1960,0.05,0.78,0.0,0.44,-1862.4151611328125
1961,0.05,0.78,0.0,0.46,-1881.568115234375
1962,0.05,0.78,0.0,0.48,-1904.4981689453125
1963,0.05,0.78,0.0,0.5,-1929.6904296875
1964,0.05,0.78,0.0,0.52,-1950.3524169921875
1965,0.05,0.78,0.0,0.54,-1973.70361328125
1966,0.05,0.78,0.0,0.56,-1997.1414794921875
1967,0.05,0.78,0.0,0.58,-2020.175537109375
1968,0.05,0.78,0.0,0.6,-2045.04833984375
1969,0.05,0.78,0.0,0.62,-2062.070556640625
1970,0.05,0.78,0.0,0.64,-2087.602783203125
1971,0.05,0.78,0.0,0.66,-2110.28857421875
1972,0.05,0.78,0.0,0.68,-2133.612060546875
1973,0.05,0.78,0.0,0.7,-2156.7646484375
1974,0.05,0.78,0.0,0.72,-2183.22802734375
1975,0.05,0.78,0.0,0.74,-2205.5517578125
1976,0.05,0.78,0.0,0.76,-2237.330078125
1977,0.05,0.78,0.0,0.78,-2242.52978515625
1978,0.05,0.78,0.0,0.8,-2272.2763671875
1979,0.05,0.78,0.0,0.82,-2296.2021484375
1980,0.05,0.78,0.0,0.84,-2330.72509765625
1981,0.05,0.78,0.0,0.86,-2355.2041015625
1982,0.05,0.78,0.0,0.88,-2354.2646484375
1983,0.05,0.78,0.0,0.9,-2390.281494140625
1984,0.05,0.78,0.0,0.92,-2404.8193359375
1985,0.05,0.78,0.0,0.94,-2449.31005859375
1986,0.05,0.78,0.0,0.96,-2468.951904296875
1987,0.05,0.78,0.0,0.98,-2483.31005859375
1988,0.05,0.78,0.0,1.0,-2502.94580078125
1989,0.05,0.8,0.0,0.0,-4186.0419921875
1990,0.05,0.8,0.0,0.02,-1573.732421875
1991,0.05,0.8,0.0,0.04,-1543.168701171875
1992,0.05,0.8,0.0,0.06,-1537.112060546875
1993,0.05,0.8,0.0,0.08,-1537.912109375
1994,0.05,0.8,0.0,0.1,-1545.4158935546875
1995,0.05,0.8,0.0,0.12,-1556.755126953125
1996,0.05,0.8,0.0,0.14,-1570.258544921875
1997,0.05,0.8,0.0,0.16,-1583.8131103515625
1998,0.05,0.8,0.0,0.18,-1600.295166015625
1999,0.05,0.8,0.0,0.2,-1617.81005859375
2000,0.05,0.8,0.0,0.22,-1637.45068359375
2001,0.05,0.8,0.0,0.24,-1655.6396484375
2002,0.05,0.8,0.0,0.26,-1671.7685546875
2003,0.05,0.8,0.0,0.28,-1693.7503662109375
2004,0.05,0.8,0.0,0.3,-1715.9449462890625
2005,0.05,0.8,0.0,0.32,-1736.2457275390625
2006,0.05,0.8,0.0,0.34,-1756.409912109375
2007,0.05,0.8,0.0,0.36,-1775.1397705078125
2008,0.05,0.8,0.0,0.38,-1798.2393798828125
2009,0.05,0.8,0.0,0.4,-1821.7451171875
2010,0.05,0.8,0.0,0.42,-1841.037109375
2011,0.05,0.8,0.0,0.44,-1864.7568359375
2012,0.05,0.8,0.0,0.46,-1886.876953125
2013,0.05,0.8,0.0,0.48,-1908.915771484375
2014,0.05,0.8,0.0,0.5,-1934.44580078125
2015,0.05,0.8,0.0,0.52,-1954.08544921875
2016,0.05,0.8,0.0,0.54,-1981.32958984375
2017,0.05,0.8,0.0,0.56,-2004.5185546875
2018,0.05,0.8,0.0,0.58,-2021.741455078125
