delta,threshold,n_points,n_components
0.5,-1926.7071066914812,2,2
1.0,-1927.2071066914812,3,3
2.0,-1928.2071066914812,4,4
5.0,-1931.2071066914812,19,10
10.0,-1936.2071066914812,62,20
20.0,-1946.2071066914812,234,19
50.0,-1976.2071066914812,865,20
100.0,-2026.2071066914812,2145,21
