idx,alpha,mu,omega,rho,loglike
126,0.05,0.03,0.0,0.24,-inf
127,0.05,0.03,0.0,0.25,-inf
128,0.05,0.03,0.0,0.26,-inf
129,0.05,0.03,0.0,0.27,-inf
130,0.05,0.03,0.0,0.28,-inf
131,0.05,0.03,0.0,0.29,-inf
132,0.05,0.03,0.0,0.3,-inf
133,0.05,0.03,0.0,0.31,-inf
134,0.05,0.03,0.0,0.32,-inf
135,0.05,0.03,0.0,0.33,-inf
136,0.05,0.03,0.0,0.34,-inf
137,0.05,0.03,0.0,0.35,-inf
138,0.05,0.03,0.0,0.36,-inf
139,0.05,0.03,0.0,0.37,-inf
140,0.05,0.03,0.0,0.38,-inf
141,0.05,0.03,0.0,0.39,-inf
142,0.05,0.03,0.0,0.4,-inf
143,0.05,0.03,0.0,0.41,-inf
144,0.05,0.03,0.0,0.42,-inf
145,0.05,0.03,0.0,0.43,-inf
146,0.05,0.03,0.0,0.44,-inf
147,0.05,0.03,0.0,0.45,-inf
148,0.05,0.03,0.0,0.46,-inf
149,0.05,0.03,0.0,0.47,-inf
150,0.05,0.03,0.0,0.48,-inf
151,0.05,0.03,0.0,0.49,-inf
152,0.05,0.03,0.0,0.5,-inf
153,0.05,0.04,0.0,0.0,-inf
154,0.05,0.04,0.0,0.01,-inf
155,0.05,0.04,0.0,0.02,-inf
156,0.05,0.04,0.0,0.03,-inf
157,0.05,0.04,0.0,0.04,-inf
158,0.05,0.04,0.0,0.05,-inf
159,0.05,0.04,0.0,0.06,-inf
160,0.05,0.04,0.0,0.07,-inf
161,0.05,0.04,0.0,0.08,-inf
162,0.05,0.04,0.0,0.09,-inf
163,0.05,0.04,0.0,0.1,-inf
164,0.05,0.04,0.0,0.11,-inf
165,0.05,0.04,0.0,0.12,-inf
166,0.05,0.04,0.0,0.13,-inf
167,0.05,0.04,0.0,0.14,-inf
168,0.05,0.04,0.0,0.15,-inf
169,0.05,0.04,0.0,0.16,-inf
170,0.05,0.04,0.0,0.17,-inf
171,0.05,0.04,0.0,0.18,-inf
172,0.05,0.04,0.0,0.19,-inf
173,0.05,0.04,0.0,0.2,-inf
174,0.05,0.04,0.0,0.21,-inf
175,0.05,0.04,0.0,0.22,-inf
176,0.05,0.04,0.0,0.23,-inf
177,0.05,0.04,0.0,0.24,-inf
178,0.05,0.04,0.0,0.25,-inf
179,0.05,0.04,0.0,0.26,-inf
180,0.05,0.04,0.0,0.27,-inf
181,0.05,0.04,0.0,0.28,-inf
182,0.05,0.04,0.0,0.29,-inf
183,0.05,0.04,0.0,0.3,-inf
184,0.05,0.04,0.0,0.31,-inf
185,0.05,0.04,0.0,0.32,-inf
186,0.05,0.04,0.0,0.33,-inf
187,0.05,0.04,0.0,0.34,-inf
188,0.05,0.04,0.0,0.35,-inf
189,0.05,0.04,0.0,0.36,-inf
190,0.05,0.04,0.0,0.37,-inf
191,0.05,0.04,0.0,0.38,-inf
192,0.05,0.04,0.0,0.39,-inf
193,0.05,0.04,0.0,0.4,-inf
194,0.05,0.04,0.0,0.41,-inf
195,0.05,0.04,0.0,0.42,-inf
196,0.05,0.04,0.0,0.43,-inf
197,0.05,0.04,0.0,0.44,-inf
198,0.05,0.04,0.0,0.45,-inf
199,0.05,0.04,0.0,0.46,-inf
200,0.05,0.04,0.0,0.47,-inf
201,0.05,0.04,0.0,0.48,-inf
202,0.05,0.04,0.0,0.49,-inf
203,0.05,0.04,0.0,0.5,-inf
204,0.05,0.05,0.0,0.0,-inf
205,0.05,0.05,0.0,0.01,-inf
206,0.05,0.05,0.0,0.02,-inf
207,0.05,0.05,0.0,0.03,-inf
208,0.05,0.05,0.0,0.04,-inf
209,0.05,0.05,0.0,0.05,-inf
210,0.05,0.05,0.0,0.06,-inf
211,0.05,0.05,0.0,0.07,-inf
212,0.05,0.05,0.0,0.08,-inf
213,0.05,0.05,0.0,0.09,-inf
214,0.05,0.05,0.0,0.1,-inf
215,0.05,0.05,0.0,0.11,-inf
216,0.05,0.05,0.0,0.12,-inf
217,0.05,0.05,0.0,0.13,-inf
218,0.05,0.05,0.0,0.14,-inf
219,0.05,0.05,0.0,0.15,-inf
220,0.05,0.05,0.0,0.16,-inf
221,0.05,0.05,0.0,0.17,-inf
222,0.05,0.05,0.0,0.18,-inf
223,0.05,0.05,0.0,0.19,-inf
