mu,rho,ll
0.367359,0.140979,-1907.765625
0.369625,0.141468,-1909.269287
0.365817,0.147229,-1908.938599
0.358756,0.15002,-1906.951416
0.358756,0.15002,-1907.009766
0.358536,0.150202,-1905.988037
0.358536,0.150202,-1905.591797
0.35692,0.154571,-1905.937378
0.35692,0.154571,-1907.377808
0.354468,0.151506,-1904.220703
0.357019,0.146435,-1905.996704
0.357019,0.146435,-1904.241699
0.355743,0.153006,-1904.509888
0.35457,0.155813,-1905.238159
0.353922,0.150889,-1905.270142
0.350882,0.155288,-1904.402344
0.350882,0.155288,-1903.440674
0.347804,0.156674,-1903.039307
0.347804,0.156674,-1901.25769
0.351421,0.15742,-1904.519287
0.349971,0.155043,-1906.760498
0.346741,0.155854,-1903.265137
0.348303,0.157517,-1905.449341
0.345744,0.163852,-1904.218018
0.343835,0.169808,-1904.046875
0.342135,0.171105,-1908.870605
0.343581,0.170394,-1904.733643
0.345067,0.174732,-1910.695068
0.345067,0.174732,-1908.610596
0.343453,0.170749,-1909.923828
0.343453,0.170749,-1908.734131
0.346153,0.172397,-1908.321289
0.346153,0.172397,-1906.076294
0.344741,0.167814,-1907.334229
0.344741,0.167814,-1909.401245
0.344741,0.167814,-1908.088379
0.34714,0.16602,-1905.233887
0.347216,0.167074,-1908.262939
0.347216,0.167074,-1905.159912
0.347983,0.160834,-1903.510376
0.347369,0.160916,-1903.440308
0.350259,0.162185,-1904.974854
0.347284,0.162739,-1907.907227
0.344247,0.158222,-1905.654297
0.346451,0.158713,-1901.909302
0.346451,0.158713,-1905.499756
0.345387,0.162495,-1908.978882
0.345387,0.162495,-1903.649414
0.345387,0.162495,-1905.825928
0.345387,0.162495,-1903.976807
0.345387,0.162495,-1905.633057
0.345387,0.162495,-1903.246216
0.345387,0.162495,-1907.026123
0.347299,0.155324,-1904.912476
0.347299,0.155324,-1901.59082
0.347299,0.155324,-1902.966675
0.340867,0.154518,-1907.659912
0.340867,0.154518,-1903.140625
0.342143,0.152714,-1901.829834
0.340974,0.152936,-1902.573242
0.340974,0.152936,-1905.941772
0.341932,0.155984,-1904.727783
0.342082,0.155694,-1907.150146
0.342082,0.155694,-1901.786255
0.344182,0.161726,-1904.672119
0.340816,0.165885,-1903.838379
0.339237,0.163492,-1909.185425
0.339237,0.163492,-1906.802002
0.339759,0.158625,-1904.349609
0.339759,0.158625,-1914.534668
0.334508,0.157733,-1907.891846
0.337355,0.161057,-1900.360352
0.335945,0.161899,-1905.47583
0.334386,0.160342,-1904.526611
0.334386,0.160342,-1908.771484
0.334386,0.160342,-1902.096802
0.338187,0.161454,-1900.092285
0.338187,0.161454,-1912.296753
0.338187,0.161454,-1907.611816
0.340168,0.159711,-1906.414062
0.337796,0.161106,-1902.886841
0.337796,0.161106,-1903.582764
0.34082,0.161808,-1905.064209
0.34278,0.166891,-1905.202881
0.341826,0.165975,-1908.179443
0.340892,0.166485,-1913.048828
0.340892,0.166485,-1904.096802
0.340892,0.166485,-1910.771484
0.340892,0.166485,-1905.912354
0.344411,0.170365,-1905.106689
0.348249,0.167768,-1906.034424
0.346008,0.167138,-1905.251953
0.347169,0.170851,-1907.94458
0.348774,0.172919,-1908.476196
0.349252,0.17332,-1911.669556
0.35007,0.171264,-1908.140381
0.348696,0.172156,-1908.419434
0.348448,0.173826,-1907.710205
0.349432,0.17576,-1909.630859
0.35227,0.176355,-1911.117676
0.35227,0.176355,-1910.977295
0.35227,0.176355,-1909.807129
0.352782,0.172822,-1908.847656
0.352661,0.168347,-1908.741211
0.346701,0.168436,-1905.354736
0.346701,0.168436,-1907.245605
0.343601,0.17039,-1911.841309
0.343743,0.17237,-1909.229492
0.341687,0.168384,-1903.516357
0.340317,0.156799,-1904.708984
0.338204,0.158381,-1905.701416
0.338204,0.158381,-1904.746826
0.338204,0.158381,-1910.29541
0.338204,0.158381,-1911.268677
0.336553,0.158805,-1899.815918
0.338729,0.159521,-1900.924438
0.33783,0.159563,-1905.484375
0.338822,0.157033,-1902.255371
0.338822,0.157033,-1909.052612
0.336468,0.16056,-1905.916992
0.336468,0.16056,-1905.687744
0.336468,0.16056,-1908.754272
0.34085,0.15875,-1906.311035
0.338381,0.156207,-1905.036865
0.337471,0.148289,-1906.706787
0.33783,0.142266,-1910.209961
0.336764,0.147128,-1913.552734
0.334107,0.148318,-1913.039307
0.328545,0.146883,-1902.026367
0.332238,0.1465,-1908.374268
0.331311,0.147473,-1909.549683
0.331311,0.147473,-1898.547607
0.335197,0.146521,-1905.324585
0.335197,0.146521,-1909.893555
0.335197,0.146521,-1910.750977
0.335247,0.144384,-1913.257812
0.335247,0.144384,-1901.780273
0.335247,0.144384,-1905.467285
0.335188,0.14383,-1911.198975
0.335379,0.147189,-1903.832642
0.334482,0.150982,-1911.304932
0.338472,0.14745,-1900.916504
0.338472,0.14745,-1910.849731
0.342936,0.143699,-1900.725708
0.340831,0.141188,-1901.913574
0.340831,0.141188,-1897.877686
0.343213,0.142289,-1903.870239
0.343213,0.142289,-1900.606445
0.343213,0.142289,-1900.832275
0.344285,0.144652,-1898.968506
0.344285,0.144652,-1900.421021
0.349612,0.141491,-1903.265625
0.346541,0.143747,-1902.658203
0.346541,0.143747,-1904.375244
0.347194,0.14408,-1900.806641
0.34428,0.145333,-1900.789917
0.34644,0.144673,-1906.536499
0.346567,0.146331,-1900.885376
0.346567,0.146331,-1899.339233
0.343097,0.148966,-1902.585693
0.343097,0.148966,-1899.443359
0.343097,0.148966,-1900.231323
0.343097,0.148966,-1905.478027
0.341044,0.148275,-1901.848145
0.338522,0.146259,-1902.233765
0.338522,0.146259,-1899.563599
0.338522,0.146259,-1904.707886
0.342094,0.146246,-1900.828979
0.342094,0.146246,-1905.734619
0.341767,0.144292,-1902.567139
0.341767,0.144292,-1905.185791
0.341767,0.144292,-1904.245728
0.341767,0.144292,-1904.897827
0.341767,0.144292,-1899.617676
0.343157,0.14508,-1902.185181
