idx,alpha,mu,omega,rho,loglike
99,0.05,0.302,0.0,0.1952,-1985.9691162109375
100,0.05,0.302,0.0,0.1976,-1976.2677001953125
101,0.05,0.302,0.0,0.2,-1960.90966796875
102,0.05,0.304,0.0,0.08,-1986.0667724609375
103,0.05,0.304,0.0,0.0824,-1995.02734375
104,0.05,0.304,0.0,0.0848,-1969.8812255859375
105,0.05,0.304,0.0,0.0872,-1954.334228515625
106,0.05,0.304,0.0,0.0896,-1986.1591796875
107,0.05,0.304,0.0,0.092,-1966.07080078125
108,0.05,0.304,0.0,0.0944,-1991.281005859375
109,0.05,0.304,0.0,0.0968,-1973.96728515625
110,0.05,0.304,0.0,0.0992,-1974.3389892578125
111,0.05,0.304,0.0,0.1016,-1980.2557373046875
112,0.05,0.304,0.0,0.104,-1967.7271728515625
113,0.05,0.304,0.0,0.1064,-1964.78515625
114,0.05,0.304,0.0,0.1088,-1978.794189453125
115,0.05,0.304,0.0,0.1112,-1953.2333984375
116,0.05,0.304,0.0,0.1136,-1972.1822509765625
117,0.05,0.304,0.0,0.116,-1964.915283203125
118,0.05,0.304,0.0,0.1184,-1950.3526611328125
119,0.05,0.304,0.0,0.1208,-1964.644775390625
120,0.05,0.304,0.0,0.1232,-1955.6510009765625
121,0.05,0.304,0.0,0.1256,-1959.529541015625
122,0.05,0.304,0.0,0.128,-1955.05322265625
123,0.05,0.304,0.0,0.1304,-1974.1317138671875
124,0.05,0.304,0.0,0.1328,-1956.1656494140625
125,0.05,0.304,0.0,0.1352,-1968.53662109375
126,0.05,0.304,0.0,0.1376,-1949.5113525390625
127,0.05,0.304,0.0,0.14,-1964.93505859375
128,0.05,0.304,0.0,0.1424,-1944.207275390625
129,0.05,0.304,0.0,0.1448,-1950.7763671875
130,0.05,0.304,0.0,0.1472,-1958.4151611328125
131,0.05,0.304,0.0,0.1496,-1975.7098388671875
132,0.05,0.304,0.0,0.152,-1965.489013671875
133,0.05,0.304,0.0,0.1544,-1940.1651611328125
134,0.05,0.304,0.0,0.1568,-1988.126953125
135,0.05,0.304,0.0,0.1592,-1945.447998046875
136,0.05,0.304,0.0,0.1616,-1931.208984375
137,0.05,0.304,0.0,0.164,-1942.391845703125
138,0.05,0.304,0.0,0.1664,-1977.55712890625
139,0.05,0.304,0.0,0.1688,-1982.78271484375
140,0.05,0.304,0.0,0.1712,-1977.6123046875
141,0.05,0.304,0.0,0.1736,-1958.2587890625
142,0.05,0.304,0.0,0.176,-1978.18212890625
143,0.05,0.304,0.0,0.1784,-1979.689453125
144,0.05,0.304,0.0,0.1808,-1962.0439453125
145,0.05,0.304,0.0,0.1832,-1982.593994140625
146,0.05,0.304,0.0,0.1856,-1962.408935546875
147,0.05,0.304,0.0,0.188,-1978.236083984375
148,0.05,0.304,0.0,0.1904,-1969.08349609375
149,0.05,0.304,0.0,0.1928,-1980.1256103515625
150,0.05,0.304,0.0,0.1952,-1978.862060546875
151,0.05,0.304,0.0,0.1976,-1963.5787353515625
152,0.05,0.304,0.0,0.2,-1947.0413818359375
153,0.05,0.306,0.0,0.08,-1974.1527099609375
154,0.05,0.306,0.0,0.0824,-1978.103271484375
155,0.05,0.306,0.0,0.0848,-1974.4481201171875
156,0.05,0.306,0.0,0.0872,-1973.522705078125
157,0.05,0.306,0.0,0.0896,-1980.4033203125
158,0.05,0.306,0.0,0.092,-1983.3511962890625
159,0.05,0.306,0.0,0.0944,-1969.2840576171875
160,0.05,0.306,0.0,0.0968,-1953.3572998046875
161,0.05,0.306,0.0,0.0992,-1948.861328125
162,0.05,0.306,0.0,0.1016,-1980.3277587890625
163,0.05,0.306,0.0,0.104,-1951.063720703125
164,0.05,0.306,0.0,0.1064,-1956.047119140625
165,0.05,0.306,0.0,0.1088,-1966.5986328125
166,0.05,0.306,0.0,0.1112,-1953.7830810546875
167,0.05,0.306,0.0,0.1136,-1958.10302734375
168,0.05,0.306,0.0,0.116,-1961.2374267578125
169,0.05,0.306,0.0,0.1184,-1956.094970703125
170,0.05,0.306,0.0,0.1208,-1967.97900390625
171,0.05,0.306,0.0,0.1232,-1966.658935546875
172,0.05,0.306,0.0,0.1256,-1942.109130859375
173,0.05,0.306,0.0,0.128,-1922.1673583984375
174,0.05,0.306,0.0,0.1304,-1965.213134765625
175,0.05,0.306,0.0,0.1328,-1946.4521484375
176,0.05,0.306,0.0,0.1352,-1951.7918701171875
177,0.05,0.306,0.0,0.1376,-1939.3330078125
178,0.05,0.306,0.0,0.14,-1959.6748046875
179,0.05,0.306,0.0,0.1424,-1946.430908203125
180,0.05,0.306,0.0,0.1448,-1976.630859375
181,0.05,0.306,0.0,0.1472,-1954.5068359375
182,0.05,0.306,0.0,0.1496,-1938.1263427734375
183,0.05,0.306,0.0,0.152,-1958.2294921875
184,0.05,0.306,0.0,0.1544,-1949.82470703125
185,0.05,0.306,0.0,0.1568,-1944.5538330078125
186,0.05,0.306,0.0,0.1592,-1973.37646484375
187,0.05,0.306,0.0,0.1616,-1961.472900390625
188,0.05,0.306,0.0,0.164,-1944.1416015625
189,0.05,0.306,0.0,0.1664,-1949.554443359375
190,0.05,0.306,0.0,0.1688,-1972.625244140625
191,0.05,0.306,0.0,0.1712,-1954.3665771484375
192,0.05,0.306,0.0,0.1736,-1975.7783203125
193,0.05,0.306,0.0,0.176,-1966.2447509765625
194,0.05,0.306,0.0,0.1784,-1955.25732421875
195,0.05,0.306,0.0,0.1808,-1962.2694091796875
196,0.05,0.306,0.0,0.1832,-1953.8663330078125
197,0.05,0.306,0.0,0.1856,-1969.30615234375
198,0.05,0.306,0.0,0.188,-1952.609619140625
199,0.05,0.306,0.0,0.1904,-1969.7337646484375
200,0.05,0.306,0.0,0.1928,-1967.298828125
201,0.05,0.306,0.0,0.1952,-1961.55224609375
202,0.05,0.306,0.0,0.1976,-1985.306396484375
203,0.05,0.306,0.0,0.2,-1979.3475341796875
204,0.05,0.308,0.0,0.08,-1977.73876953125
205,0.05,0.308,0.0,0.0824,-1963.8101806640625
206,0.05,0.308,0.0,0.0848,-1964.239501953125
207,0.05,0.308,0.0,0.0872,-1971.8197021484375
208,0.05,0.308,0.0,0.0896,-1960.521484375
209,0.05,0.308,0.0,0.092,-1964.3099365234375
210,0.05,0.308,0.0,0.0944,-1966.62841796875
211,0.05,0.308,0.0,0.0968,-1955.303466796875
212,0.05,0.308,0.0,0.0992,-1967.895751953125
213,0.05,0.308,0.0,0.1016,-1939.2081298828125
214,0.05,0.308,0.0,0.104,-1950.3359375
215,0.05,0.308,0.0,0.1064,-1954.5550537109375
216,0.05,0.308,0.0,0.1088,-1958.435791015625
217,0.05,0.308,0.0,0.1112,-1954.977294921875
218,0.05,0.308,0.0,0.1136,-1949.593017578125
219,0.05,0.308,0.0,0.116,-1951.39111328125
220,0.05,0.308,0.0,0.1184,-1948.7325439453125
221,0.05,0.308,0.0,0.1208,-1967.732177734375
222,0.05,0.308,0.0,0.1232,-1966.3758544921875
223,0.05,0.308,0.0,0.1256,-1940.004150390625
224,0.05,0.308,0.0,0.128,-1955.1181640625
225,0.05,0.308,0.0,0.1304,-1953.513671875
226,0.05,0.308,0.0,0.1328,-1958.946044921875
227,0.05,0.308,0.0,0.1352,-1946.828369140625
228,0.05,0.308,0.0,0.1376,-1963.21728515625
229,0.05,0.308,0.0,0.14,-1958.2249755859375
230,0.05,0.308,0.0,0.1424,-1960.649658203125
231,0.05,0.308,0.0,0.1448,-1956.00390625
232,0.05,0.308,0.0,0.1472,-1948.671142578125
233,0.05,0.308,0.0,0.1496,-1953.290283203125
234,0.05,0.308,0.0,0.152,-1957.27978515625
235,0.05,0.308,0.0,0.1544,-1958.521484375
236,0.05,0.308,0.0,0.1568,-1948.7672119140625
237,0.05,0.308,0.0,0.1592,-1961.5140380859375
238,0.05,0.308,0.0,0.1616,-1960.064697265625
