Worm #,CFU_22,CFU_222,CFU_2222,Day,Sync
23,1,0,,3,3/28/2025
24,2,0,,3,3/28/2025
25,66,12,,3,3/28/2025
1,1,0,,5,3/28/2025
2,0,3,,5,3/28/2025
3,2,0,,5,3/28/2025
4,5,1,,5,3/28/2025
5,4,0,,5,3/28/2025
6,0,0,,5,3/28/2025
7,3,0,,5,3/28/2025
8,0,0,,5,3/28/2025
9,1,2,,5,3/28/2025
10,0,0,,5,3/28/2025
11,0,0,,5,3/28/2025
12,4,1,,5,3/28/2025
13,0,0,,5,3/28/2025
14,0,0,,5,3/28/2025
15,0,0,,5,3/28/2025
16,0,0,,5,3/28/2025
17,277,35,,5,3/28/2025
18,3,0,,5,3/28/2025
19,0,0,,5,3/28/2025
20,1,0,,5,3/28/2025
21,unc,102,,5,3/28/2025
22,0,0,,5,3/28/2025
23,0,0,,5,3/28/2025
24,1,0,,5,3/28/2025
25,0,1,,5,3/28/2025
1,0,0,,7,3/28/2025
2,1,0,,7,3/28/2025
3,5,0,,7,3/28/2025
4,2,0,,7,3/28/2025
5,2,0,,7,3/28/2025
6,4,0,,7,3/28/2025
7,1,0,,7,3/28/2025
8,unc,176,,7,3/28/2025
9,5,0,,7,3/28/2025
10,unc,133,,7,3/28/2025
11,4,1,,7,3/28/2025
12,141,12,,7,3/28/2025
13,2,0,,7,3/28/2025
14,9,1,,7,3/28/2025
15,unc,86,,7,3/28/2025
16,3,0,,7,3/28/2025
17,8,1,,7,3/28/2025
18,0,0,,7,3/28/2025
19,8,0,,7,3/28/2025
20,5,1,,7,3/28/2025
21,2,0,,7,3/28/2025
22,27,2,,7,3/28/2025
23,1,0,,7,3/28/2025
24,2,1,,7,3/28/2025
25,unc,34,,7,3/28/2025
1,2,0,0,9,3/28/2025
2,20,0,0,9,3/28/2025
3,1,0,0,9,3/28/2025
4,7,0,0,9,3/28/2025
5,unc,155,22,9,3/28/2025
6,unc,unc,208,9,3/28/2025
7,1,0,0,9,3/28/2025
8,2,1,0,9,3/28/2025
9,6,0,1,9,3/28/2025
10,1,1,0,9,3/28/2025
11,1,0,0,9,3/28/2025
12,unc,185,26,9,3/28/2025
13,43,6,0,9,3/28/2025
14,3,0,0,9,3/28/2025
15,unc,unc,37,9,3/28/2025
16,6,0,1,9,3/28/2025
17,unc,90,12,9,3/28/2025
18,unc,unc,168,9,3/28/2025
19,22,3,0,9,3/28/2025
20,unc,60,1,9,3/28/2025
21,30,3,0,9,3/28/2025
22,0,0,0,9,3/28/2025
23,unc,131,21,9,3/28/2025
24,unc,unc,66,9,3/28/2025
25,1,0,0,9,3/28/2025
1,0,0,,1,3/12/2025
2,0,0,,1,3/12/2025
3,unc,181,,1,3/12/2025
4,0,0,,1,3/12/2025
5,0,0,,1,3/12/2025
6,4,1,,1,3/12/2025
7,0,0,,1,3/12/2025
8,0,0,,1,3/12/2025
9,1,0,,1,3/12/2025
10,0,0,,1,3/12/2025
11,704,37,,1,3/12/2025
12,4,0,,1,3/12/2025
13,3,0,,1,3/12/2025
14,1,0,,1,3/12/2025
15,0,0,,1,3/12/2025
16,0,0,,1,3/12/2025
17,0,0,,1,3/12/2025
18,6,2,,1,3/12/2025
19,0,0,,1,3/12/2025
20,102,6,,1,3/12/2025
21,2,0,,1,3/12/2025
22,0,0,,1,3/12/2025
23,96,12,,1,3/12/2025
24,unc,57,,1,3/12/2025
25,7,1,,1,3/12/2025
1,1,0,0,3,3/12/2025
2,206,24,4,3,3/12/2025
3,1,0,0,3,3/12/2025
4,0,0,0,3,3/12/2025
5,22,1,0,3,3/12/2025
6,8,0,0,3,3/12/2025
7,1,0,0,3,3/12/2025
8,0,0,0,3,3/12/2025
9,0,0,0,3,3/12/2025
10,3,0,1,3,3/12/2025
11,13,3,0,3,3/12/2025
12,13,2,0,3,3/12/2025
13,3,0,0,3,3/12/2025
14,1,0,0,3,3/12/2025
15,3,0,0,3,3/12/2025
16,2,0,1,3,3/12/2025
17,1,0,0,3,3/12/2025
18,1,0,0,3,3/12/2025
19,0,0,0,3,3/12/2025
20,10,1,0,3,3/12/2025
21,25,0,0,3,3/12/2025
22,59,10,0,3,3/12/2025
23,7,0,0,3,3/12/2025
24,0,0,0,3,3/12/2025
25,0,0,0,3,3/12/2025
1,2,1,,5,3/12/2025
2,0,0,,5,3/12/2025
3,0,0,,5,3/12/2025
4,unc,131,,5,3/12/2025
5,4,0,,5,3/12/2025
6,4,1,,5,3/12/2025
7,238,25,,5,3/12/2025
8,5,0,,5,3/12/2025
9,4,0,,5,3/12/2025
10,197,28,,5,3/12/2025
11,0,0,,5,3/12/2025
12,2,0,,5,3/12/2025
13,0,0,,5,3/12/2025
14,2,1,,5,3/12/2025
15,0,0,,5,3/12/2025
