Worm #,CFU_2,CFU_22,CFU_222,CFU_2222,PFU_2,Day,Cycle
8,0,0,,,0,5,CL100225
9,unc,unc (1500),,,98,5,CL100225
10,0,0,,,0,5,CL100225
11,0,0,,,0,5,CL100225
12,0,0,,,1,5,CL100225
13,0,0,,,0,5,CL100225
14,unc,129,,,1,5,CL100225
15,0,0,,,0,5,CL100225
16,0,0,,,0,5,CL100225
17,229,19,,,2,5,CL100225
18,0,0,,,0,5,CL100225
19,0,0,,,0,5,CL100225
20,0,0,,,0,5,CL100225
21,1,0,,,0,5,CL100225
22,0,0,,,0,5,CL100225
23,0,0,,,0,5,CL100225
24,0,0,,,0,5,CL100225
25,0,0,,,0,5,CL100225
1,0,0,0,,9,7,CL100225
2,0,0,0,,23,7,CL100225
3,0,0,0,,11,7,CL100225
4,0,0,0,,0,7,CL100225
5,0,0,0,,28,7,CL100225
6,unc,470,54,,25,7,CL100225
7,0,0,0,,9,7,CL100225
8,0,0,0,,246,7,CL100225
9,0,0,0,,0,7,CL100225
10,unc,unc,287,,>300,7,CL100225
11,0,0,0,,8,7,CL100225
12,1,0,0,,36,7,CL100225
13,0,0,0,,39,7,CL100225
14,0,0,0,,2,7,CL100225
15,0,0,0,,65,7,CL100225
16,0,0,0,,22,7,CL100225
17,1,0,0,,71,7,CL100225
18,1,0,0,,190,7,CL100225
19,12,4,7,,79,7,CL100225
20,1,0,0,,542,7,CL100225
21,0,0,0,,12,7,CL100225
22,0,0,0,,89,7,CL100225
23,0,1,0,,10,7,CL100225
24,unc,112,smear,,11,7,CL100225
25,0,0,0,,271,7,CL100225
1,unc,unc,119,,130,9,CL100225
2,0,0,0,,70,9,CL100225
3,0,0,0,,71,9,CL100225
4,0,0,0,,7,9,CL100225
5,0,0,0,,12,9,CL100225
6,0,0,0,,10,9,CL100225
7,0,0,0,,7,9,CL100225
8,3,0,0,,99,9,CL100225
9,2,0,0,,13,9,CL100225
10,174,16,4,,61,9,CL100225
11,unc,unc,213,,183,9,CL100225
12,1,0,0,,116,9,CL100225
13,0,0,0,,19,9,CL100225
14,0,0,0,,40,9,CL100225
15,57,13,11,,10,9,CL100225
16,1,0,0,,220,9,CL100225
17,0,0,0,,99,9,CL100225
18,0,0,0,,62,9,CL100225
19,0,0,0,,98,9,CL100225
20,0,0,0,,23,9,CL100225
21,0,0,0,,125,9,CL100225
22,unc,unc,102,,>300,9,CL100225
23,0,0,0,,5,9,CL100225
24,unc,unc,162,,>300,9,CL100225
25,0,0,0,,58,9,CL100225
1,5,1,0,,1,ST102
2,unc,154,12,,1,ST102
3,0,0,0,,1,ST102
4,0,1,0,,1,ST102
5,0,0,0,,1,ST102
6,7,0,0,,1,ST102
7,unc,unc,96,,1,ST102
8,0,0,0,,1,ST102
9,unc,254,38,,1,ST102
10,2,0,0,,1,ST102
11,20,3,0,,1,ST102
12,161,15,0,,1,ST102
13,30,0,0,,1,ST102
14,unc,69,11,,1,ST102
15,2,0,0,,1,ST102
16,contam,contam,contam,,1,ST102
17,391,38,4,,1,ST102
18,0,0,0,,1,ST102
19,110,13,1,,1,ST102
20,0,0,0,,1,ST102
21,25,0,0,,1,ST102
22,377,51,4,,1,ST102
23,0,0,0,,1,ST102
24,22,3,0,,1,ST102
25,11,1,0,,1,ST102
1,48,7,0,,3,ST102
2,1,0,0,,3,ST102
3,0,0,0,,3,ST102
4,0,0,0,,3,ST102
5,0,0,0,,3,ST102
6,unc,408,44,,3,ST102
7,0,0,0,,3,ST102
8,8,0,0,,3,ST102
9,0,0,0,,3,ST102
10,0,0,0,,3,ST102
11,0,0,0,,3,ST102
12,0,0,0,,3,ST102
13,0,0,0,,3,ST102
14,0,0,0,,3,ST102
15,13,0,0,,3,ST102
16,0,0,0,,3,ST102
17,0,0,0,,3,ST102
18,11,2,0,,3,ST102
19,0,0,0,,3,ST102
20,0,0,0,,3,ST102
21,0,0,0,,3,ST102
22,0,0,0,,3,ST102
23,0,0,0,,3,ST102
24,unc,277,35,,3,ST102
25,0,0,0,,3,ST102
1,0,0,0,0.0,5,ST102
2,unc,unc,127,15.0,5,ST102
3,0,0,0,0.0,5,ST102
4,0,0,0,0.0,5,ST102
5,unc,52,5,0.0,5,ST102
6,unc,unc,75,7.0,5,ST102
7,4,1,0,0.0,5,ST102
8,0,0,0,0.0,5,ST102
9,2,0,0,0.0,5,ST102
10,1,0,0,0.0,5,ST102
11,0,0,0,0.0,5,ST102
12,4,1,0,0.0,5,ST102
13,unc,114,8,0.0,5,ST102
14,unc,238,32,3.0,5,ST102
15,271,32,1,1.0,5,ST102
16,0,0,0,0.0,5,ST102
17,0,0,0,0.0,5,ST102
18,7,0,0,0.0,5,ST102
19,0,0,0,0.0,5,ST102
20,unc,286,30,1.0,5,ST102
21,unc,unc,428,63.0,5,ST102
22,4,0,0,0.0,5,ST102
23,unc,unc,82,12.0,5,ST102
24,0,0,0,0.0,5,ST102
25,0,0,0,0.0,5,ST102
1,0,0,0,0.0,7,ST102
2,0,0,0,0.0,7,ST102
3,296,63,6,1.0,7,ST102
4,0,0,0,0.0,7,ST102
5,0,0,0,0.0,7,ST102
6,,0,0,0.0,7,ST102
7,0,0,0,0.0,7,ST102
8,0,0,0,0.0,7,ST102
9,unc,unc,15,4.0,7,ST102
10,0,0,0,0.0,7,ST102
11,0,0,0,0.0,7,ST102
12,unc,67,4,2.0,7,ST102
13,unc,unc,unc,40.0,7,ST102
14,0,0,0,0.0,7,ST102
15,0,0,0,0.0,7,ST102
16,0,0,0,0.0,7,ST102
17,0,0,1,0.0,7,ST102
18,unc,188,33,1.0,7,ST102
19,1,0,0,0.0,7,ST102
20,0,0,0,0.0,7,ST102
21,0,0,0,0.0,7,ST102
22,1,0,0,0.0,7,ST102
23,unc,32,5,0.0,7,ST102
24,0,0,0,0.0,7,ST102
25,unc,unc,unc,17.0,7,ST102
1,0,0,0,0.0,9,ST102
2,26,2,0,0.0,9,ST102
3,unc,89,10,1.0,9,ST102
4,2,0,0,0.0,9,ST102
5,2,0,0,0.0,9,ST102
6,1,0,0,0.0,9,ST102
7,101,11,2,0.0,9,ST102
8,unc,unc,205,16.0,9,ST102
9,4,1,0,0.0,9,ST102
10,1,1,0,0.0,9,ST102
11,0,0,0,0.0,9,ST102
12,1,0,0,0.0,9,ST102
13,7,0,0,0.0,9,ST102
14,0,0,0,0.0,9,ST102
15,459,48,11,1.0,9,ST102
16,0,0,0,0.0,9,ST102
17,154,19,0,0.0,9,ST102
18,unc,26,4,0.0,9,ST102
19,0,0,0,0.0,9,ST102
20,3,0,1,0.0,9,ST102
21,6,2,0,0.0,9,ST102
22,2,0,0,0.0,9,ST102
23,0,0,0,0.0,9,ST102
24,45,8,0,0.0,9,ST102
25,0,0,0,0.0,9,ST102
