Worm #,CFU_22,CFU_222,CFU_2222,PFU,Day,Exp,Sync,
20,366,50,3,,9,ST041,3/25/2025,
21,2,1,1,,9,ST041,3/25/2025,
22,0,0,0,,9,ST041,3/25/2025,
23,unc,149,15,,9,ST041,3/25/2025,
24,6,1,0,,9,ST041,3/25/2025,
25,1,0,0,,9,ST041,3/25/2025,
1,43,8,,0,1,ST042,4/3/2025,
2,18,4,,0,1,ST042,4/3/2025,
3,106,9,,0,1,ST042,4/3/2025,
4,107,14,,0,1,ST042,4/3/2025,
5,0,0,,0,1,ST042,4/3/2025,
6,0,1,,0,1,ST042,4/3/2025,
7,17,3,,0,1,ST042,4/3/2025,
8,0,0,,0,1,ST042,4/3/2025,
9,2,0,,0,1,ST042,4/3/2025,
10,0,0,,0,1,ST042,4/3/2025,
11,0,0,,0,1,ST042,4/3/2025,
12,0,0,,0,1,ST042,4/3/2025,
13,127,20,,0,1,ST042,4/3/2025,
14,0,0,,0,1,ST042,4/3/2025,
15,0,0,,0,1,ST042,4/3/2025,
16,0,0,,0,1,ST042,4/3/2025,
17,0,0,,0,1,ST042,4/3/2025,
18,0,0,,0,1,ST042,4/3/2025,
19,0,0,,0,1,ST042,4/3/2025,
20,0,0,,0,1,ST042,4/3/2025,
21,0,0,,0,1,ST042,4/3/2025,
22,3,0,,0,1,ST042,4/3/2025,
23,0,0,,0,1,ST042,4/3/2025,
24,0,0,,0,1,ST042,4/3/2025,
25,0,0,,0,1,ST042,4/3/2025,
1,0,0,,0,3,ST042,4/3/2025,
2,0,0,,0,3,ST042,4/3/2025,
3,0,0,,0,3,ST042,4/3/2025,
4,1,0,,0,3,ST042,4/3/2025,
5,0,0,,0,3,ST042,4/3/2025,
6,0,0,,0,3,ST042,4/3/2025,
7,0,0,,0,3,ST042,4/3/2025,
8,0,0,,0,3,ST042,4/3/2025,
9,unc ,360-380,,0,3,ST042,4/3/2025,
10,0,0,,0,3,ST042,4/3/2025,
11,0,0,,0,3,ST042,4/3/2025,
12,0,0,,0,3,ST042,4/3/2025,
13,0,0,,0,3,ST042,4/3/2025,
14,0,0,,0,3,ST042,4/3/2025,
15,0,0,,0,3,ST042,4/3/2025,
16,0,0,,0,3,ST042,4/3/2025,
17,0,0,,0,3,ST042,4/3/2025,
18,0,0,,0,3,ST042,4/3/2025,
19,0,0,,0,3,ST042,4/3/2025,
20,0,0,,0,3,ST042,4/3/2025,
21,0,0,,0,3,ST042,4/3/2025,
22,0,0,,0,3,ST042,4/3/2025,
23,0,0,,0,3,ST042,4/3/2025,
24,15,1,,0,3,ST042,4/3/2025,
25,0,0,,0,3,ST042,4/3/2025,
1,240,30,5,0,5,ST042,4/3/2025,
2,0,0,0,0,5,ST042,4/3/2025,
3,1,0,0,0,5,ST042,4/3/2025,
4,0,0,0,0,5,ST042,4/3/2025,
5,0,0,0,0,5,ST042,4/3/2025,
6,unc ,79,7,0,5,ST042,4/3/2025,
7,0,0,0,0,5,ST042,4/3/2025,
8,0,0,0,0,5,ST042,4/3/2025,
9,0,0,0,0,5,ST042,4/3/2025,
10,0,0,0,0,5,ST042,4/3/2025,
11,0,0,0,0,5,ST042,4/3/2025,
12,0,0,0,0,5,ST042,4/3/2025,
13,1,0,0,0,5,ST042,4/3/2025,
14,0,0,0,0,5,ST042,4/3/2025,
15,0,0,0,0,5,ST042,4/3/2025,
16,0,0,0,0,5,ST042,4/3/2025,
17,0,0,0,0,5,ST042,4/3/2025,
18,1,0,0,0,5,ST042,4/3/2025,
19,0,0,0,0,5,ST042,4/3/2025,
20,0,0,0,0,5,ST042,4/3/2025,
21,0,0,0,0,5,ST042,4/3/2025,
22,0,0,0,0,5,ST042,4/3/2025,
23,0,0,0,0,5,ST042,4/3/2025,
24,0,0,0,0,5,ST042,4/3/2025,
25,0,0,0,0,5,ST042,4/3/2025,
1,0,0,,0,7,ST042,4/3/2025,
2,1,0,,0,7,ST042,4/3/2025,
3,1,0,,0,7,ST042,4/3/2025,
4,unc ,310,29,0,7,ST042,4/3/2025,
5,2,0,,0,7,ST042,4/3/2025,
6,0,0,,0,7,ST042,4/3/2025,
7,0,0,,0,7,ST042,4/3/2025,
