Worm #,CFU_22,CFU_222,CFU_2222,Day,Sync
14,unc,unc,177,3,1/21/2025
15,unc,80,15,3,1/21/2025
16,unc,unc,150,3,1/21/2025
17,unc,unc,33,3,1/21/2025
18,10,0,0,3,1/21/2025
19,unc,369,42,3,1/21/2025
20,unc,402,61,3,1/21/2025
21,43,4,0,3,1/21/2025
22,unc,178,16,3,1/21/2025
23,unc,unc,43,3,1/21/2025
24,36,0,0,3,1/21/2025
25,2,0,0,3,1/21/2025
1,19,2,0,5,1/21/2025
2,2,0,0,5,1/21/2025
3,unc,64,10,5,1/21/2025
4,unc,60,10,5,1/21/2025
5,46,11,0,5,1/21/2025
6,8,1,0,5,1/21/2025
7,unc,unc,100,5,1/21/2025
8,unc,unc,180,5,1/21/2025
9,unc,unc,400,5,1/21/2025
10,11,0,0,5,1/21/2025
11,0,0,0,5,1/21/2025
12,10,1,0,5,1/21/2025
13,72,7,0,5,1/21/2025
14,0,0,0,5,1/21/2025
15,unc,22,7,5,1/21/2025
16,0,1,0,5,1/21/2025
17,unc,123,12,5,1/21/2025
18,unc,120,15,5,1/21/2025
19,unc,unc,76,5,1/21/2025
20,0,1,0,5,1/21/2025
21,unc,35,5,5,1/21/2025
22,4,0,0,5,1/21/2025
23,unc,31,1,5,1/21/2025
24,0,0,0,5,1/21/2025
25,177,56,1,5,1/21/2025
1,unc,unc,43,7,1/21/2025
2,97,14,0,7,1/21/2025
3,unc,285,48,7,1/21/2025
4,6,0,0,7,1/21/2025
5,unc,181,20,7,1/21/2025
6,7,2,0,7,1/21/2025
7,unc,unc,68,7,1/21/2025
8,unc,145,21,7,1/21/2025
9,unc,220,17,7,1/21/2025
10,unc,unc,57,7,1/21/2025
11,unc,unc,224,7,1/21/2025
12,0,0,0,7,1/21/2025
13,unc,485,67,7,1/21/2025
14,unc,316,38,7,1/21/2025
15,unc,216,18,7,1/21/2025
16,8,0,0,7,1/21/2025
17,unc,236,53,7,1/21/2025
18,unc,unc,220,7,1/21/2025
19,unc,unc,41,7,1/21/2025
20,unc,303,33,7,1/21/2025
21,unc,336,0,7,1/21/2025
22,unc,unc,118,7,1/21/2025
23,unc,70,6,7,1/21/2025
24,unc,unc,816,7,1/21/2025
25,unc,189,27,7,1/21/2025
1,unc,unc,141,9,1/21/2025
2,unc,unc,232,9,1/21/2025
3,12,0,0,9,1/21/2025
4,164,59,3,9,1/21/2025
5,unc,unc,55,9,1/21/2025
6,43,3,2,9,1/21/2025
7,unc,unc,46,9,1/21/2025
8,unc,unc,84,9,1/21/2025
9,12,1,0,9,1/21/2025
10,unc,368,29,9,1/21/2025
11,unc,unc,34,9,1/21/2025
12,unc,196,101,9,1/21/2025
13,0,0,0,9,1/21/2025
14,unc,126,73,9,1/21/2025
15,unc,188,13,9,1/21/2025
16,unc,unc,151,9,1/21/2025
17,unc,unc,111,9,1/21/2025
18,unc,30,14,9,1/21/2025
19,unc,unc,85,9,1/21/2025
20,unc,unc,69,9,1/21/2025
21,unc,unc,18,9,1/21/2025
22,unc,58,14,9,1/21/2025
