Worm #,CFU_2,CFU_22,CFU_222,CFU_2222,Day,Cycle
24,4,1,0,,3,CL102425
25,10,1,0,,3,CL102425
1,1,0,0,,5,CL102425
2,9,1,0,,5,CL102425
3,unc,unc,110,,5,CL102425
4,15,3,0,,5,CL102425
5,7,0,0,,5,CL102425
6,unc,194,21,,5,CL102425
7,3,0,0,,5,CL102425
8,unc,274,47,,5,CL102425
9,4,1,0,,5,CL102425
10,63,3,0,,5,CL102425
11,unc,unc,450,,5,CL102425
12,2,0,0,,5,CL102425
13,1,0,0,,5,CL102425
14,3,0,0,,5,CL102425
15,2,0,0,,5,CL102425
16,4,1,0,,5,CL102425
17,unc,unc,220,,5,CL102425
18,8,1,0,,5,CL102425
19,18,1,0,,5,CL102425
20,unc,unc,132,,5,CL102425
21,43,5,0,,5,CL102425
22,3,0,0,,5,CL102425
23,7,0,0,,5,CL102425
24,4,1,1,,5,CL102425
25,4,0,0,,5,CL102425
1,30,5,0,0,7,CL102425
2,37,4,0,0,7,CL102425
3,unc,232,21,1,7,CL102425
4,20,0,1,0,7,CL102425
5,53,4,0,0,7,CL102425
6,2,0,0,0,7,CL102425
7,unc,85,18,1,7,CL102425
8,unc,unc,59,4,7,CL102425
9,9,0,0,0,7,CL102425
10,334,15,3,0,7,CL102425
11,91,5,1,0,7,CL102425
12,15,1,0,0,7,CL102425
13,unc,unc,130,16,7,CL102425
14,65,21,3,0,7,CL102425
15,unc,260,38,2,7,CL102425
16,unc,unc,117,15,7,CL102425
17,unc,158,31,3,7,CL102425
18,unc,57,4,0,7,CL102425
19,12,0,0,0,7,CL102425
20,49,7,1,0,7,CL102425
21,7,1,0,0,7,CL102425
22,16,8,0,0,7,CL102425
23,156,11,0,0,7,CL102425
24,4,0,0,0,7,CL102425
25,61,4,2,0,7,CL102425
1,17,2,0,0,9,CL102425
2,14,3,0,0,9,CL102425
3,unc,89,2,2,9,CL102425
4,19,1,0,0,9,CL102425
5,unc,unc,128,22,9,CL102425
6,unc,unc,unc,50,9,CL102425
7,22,2,1,0,9,CL102425
8,24,3,0,0,9,CL102425
9,20,1,0,0,9,CL102425
10,unc,unc,355,25,9,CL102425
11,unc,unc,32,4,9,CL102425
12,unc,unc,57,6,9,CL102425
13,2,0,0,0,9,CL102425
14,unc,58,4,0,9,CL102425
15,11,0,0,0,9,CL102425
16,unc,unc,unc,34,9,CL102425
17,12,1,0,0,9,CL102425
18,126,10,0,0,9,CL102425
19,14,2,0,0,9,CL102425
20,14,0,0,0,9,CL102425
21,unc,64,1,2,9,CL102425
22,67,7,0,0,9,CL102425
23,unc,unc,22,2,9,CL102425
24,unc,unc,unc,132,9,CL102425
25,unc,unc,unc,47,9,CL102425
