ID,CFU_22,CFU_222,Day,Exp,Sync
1,3,1,1,CL102,7/19/2024
2,0,0,1,CL102,7/19/2024
3,1,1,1,CL102,7/19/2024
4,37,8,1,CL102,7/19/2024
5,0,0,1,CL102,7/19/2024
6,0,0,1,CL102,7/19/2024
7,500,87,1,CL102,7/19/2024
8,0,1,1,CL102,7/19/2024
9,0,0,1,CL102,7/19/2024
10,0,0,1,CL102,7/19/2024
11,5,1,1,CL102,7/19/2024
12,1,0,1,CL102,7/19/2024
13,0,0,1,CL102,7/19/2024
14,500,75,1,CL102,7/19/2024
15,32,1,1,CL102,7/19/2024
16,2000,600,1,CL102,7/19/2024
17,600,263,1,CL102,7/19/2024
18,0,0,1,CL102,7/19/2024
19,0,0,1,CL102,7/19/2024
20,0,0,1,CL102,7/19/2024
21,2,0,1,CL102,7/19/2024
22,12,1,1,CL102,7/19/2024
23,120,14,1,CL102,7/19/2024
24,4,0,1,CL102,7/19/2024
25,2,0,1,CL102,7/19/2024
1,35,2,3,CL102,7/19/2024
2,5,0,3,CL102,7/19/2024
3,6,0,3,CL102,7/19/2024
4,10,1,3,CL102,7/19/2024
5,11,0,3,CL102,7/19/2024
6,1000,500,3,CL102,7/19/2024
7,7,1,3,CL102,7/19/2024
8,6,1,3,CL102,7/19/2024
9,248,44,3,CL102,7/19/2024
10,12,0,3,CL102,7/19/2024
11,415,39,3,CL102,7/19/2024
12,2,0,3,CL102,7/19/2024
13,3,0,3,CL102,7/19/2024
14,4,1,3,CL102,7/19/2024
15,1,0,3,CL102,7/19/2024
16,7,0,3,CL102,7/19/2024
17,7,0,3,CL102,7/19/2024
18,3,0,3,CL102,7/19/2024
19,1,3,3,CL102,7/19/2024
20,6,2,3,CL102,7/19/2024
21,1000,364,3,CL102,7/19/2024
22,1000,88,3,CL102,7/19/2024
23,135,22,3,CL102,7/19/2024
24,7,1,3,CL102,7/19/2024
25,7,1,3,CL102,7/19/2024
1,1000,441,7,CL102,7/19/2024
2,400,99,7,CL102,7/19/2024
3,1000,431,7,CL102,7/19/2024
4,208-213,50,7,CL102,7/19/2024
5,340,112,7,CL102,7/19/2024
6,1000,475,7,CL102,7/19/2024
7,1000,133,7,CL102,7/19/2024
8,160,47,7,CL102,7/19/2024
9,261,81,7,CL102,7/19/2024
10,Contaminated,Contaminated,7,CL102,7/19/2024
11,5,1,7,CL102,7/19/2024
12,330,44,7,CL102,7/19/2024
13,1000,375,7,CL102,7/19/2024
14,300,46,7,CL102,7/19/2024
15,460,63,7,CL102,7/19/2024
16,1,0,7,CL102,7/19/2024
17,>240,68,7,CL102,7/19/2024
18,400,72,7,CL102,7/19/2024
19,90,7,7,CL102,7/19/2024
20,109,53,7,CL102,7/19/2024
21,4,1,7,CL102,7/19/2024
22,441,41,7,CL102,7/19/2024
23,650,139,7,CL102,7/19/2024
24,1000,439,7,CL102,7/19/2024
25,1000,410,7,CL102,7/19/2024
1,600,68,9,CL102,7/19/2024
2,206,20,9,CL102,7/19/2024
3,5,0,9,CL102,7/19/2024
4,53,0,9,CL102,7/19/2024
5,1000,363,9,CL102,7/19/2024
6,600,138,9,CL102,7/19/2024
7,445,74,9,CL102,7/19/2024
8,420,126,9,CL102,7/19/2024
9,359,72,9,CL102,7/19/2024
10,363,69,9,CL102,7/19/2024
11,1000,121,9,CL102,7/19/2024
12,246,32,9,CL102,7/19/2024
13,72,10,9,CL102,7/19/2024
14,370,75,9,CL102,7/19/2024
15,190,59,9,CL102,7/19/2024
16,>240,98,9,CL102,7/19/2024
17,4,2,9,CL102,7/19/2024
18,40,8,9,CL102,7/19/2024
19,1000,48,9,CL102,7/19/2024
20,400,159,9,CL102,7/19/2024
21,442,41,9,CL102,7/19/2024
22,650,139,9,CL102,7/19/2024
23,4,1,9,CL102,7/19/2024
24,1000,439,9,CL102,7/19/2024
25,1000,410,9,CL102,7/19/2024
