mu,rho,ll
0.402454,1.0,-2648.32251
0.402823,1.0,-2651.551514
0.402823,1.0,-2649.346191
0.402799,1.0,-2649.714111
0.402799,1.0,-2646.91748
0.402799,1.0,-2651.592285
0.402443,1.0,-2651.226562
0.402732,1.0,-2644.884766
0.402732,1.0,-2647.064941
0.402732,1.0,-2652.242188
0.402732,1.0,-2649.068604
0.403171,1.0,-2651.973145
0.402641,1.0,-2649.57959
0.402641,1.0,-2646.644775
0.402641,1.0,-2654.458008
0.402568,1.0,-2651.778564
0.402568,1.0,-2648.885254
0.40252,1.0,-2648.29126
0.40252,1.0,-2651.882324
0.401944,1.0,-2649.175781
0.401944,1.0,-2649.840088
0.401944,1.0,-2651.326172
0.401534,1.0,-2649.874512
0.402233,1.0,-2652.214355
0.402576,1.0,-2647.901855
0.402527,1.0,-2655.260254
0.402527,1.0,-2655.42627
0.402527,1.0,-2652.645508
0.403009,1.0,-2652.85498
0.403124,1.0,-2648.486084
0.402955,1.0,-2649.572021
0.402775,1.0,-2653.316895
0.402775,1.0,-2654.294434
0.402672,1.0,-2652.815186
0.402729,1.0,-2650.56543
0.402729,1.0,-2654.172363
0.402423,1.0,-2650.748779
0.402421,1.0,-2650.52124
0.402179,1.0,-2645.911865
0.401875,1.0,-2649.226562
0.402275,1.0,-2653.869385
0.402306,1.0,-2649.994629
0.402108,1.0,-2651.785645
0.402108,1.0,-2653.670898
0.402938,1.0,-2650.945068
0.402938,1.0,-2647.616943
0.403152,1.0,-2656.691406
0.403152,1.0,-2649.479004
0.403152,1.0,-2649.718018
0.402599,1.0,-2653.31665
0.402599,1.0,-2650.383301
0.402599,1.0,-2653.041016
0.402599,1.0,-2646.867676
0.40276,1.0,-2642.120117
0.40276,1.0,-2647.131348
0.40276,1.0,-2653.227051
0.40276,1.0,-2651.821777
0.40276,1.0,-2649.170166
0.403244,1.0,-2649.450684
0.403244,1.0,-2657.597168
0.403244,1.0,-2653.343262
0.40265,1.0,-2649.977783
0.401958,1.0,-2651.815186
0.401958,1.0,-2649.418457
0.401958,1.0,-2649.461914
0.402054,1.0,-2652.129883
