idx,alpha,mu,omega,rho,loglike
0,0.05,0.01,0.0,1.0,-inf
1,0.05,0.02,0.0,1.0,-inf
2,0.05,0.03,0.0,1.0,-inf
3,0.05,0.04,0.0,1.0,-inf
4,0.05,0.05,0.0,1.0,-inf
5,0.05,0.06,0.0,1.0,-inf
6,0.05,0.07,0.0,1.0,-inf
7,0.05,0.08,0.0,1.0,-inf
8,0.05,0.09,0.0,1.0,-inf
9,0.05,0.1,0.0,1.0,-inf
10,0.05,0.11,0.0,1.0,-inf
11,0.05,0.12,0.0,1.0,-inf
12,0.05,0.13,0.0,1.0,-3061.41357421875
13,0.05,0.14,0.0,1.0,-2430.362060546875
14,0.05,0.15,0.0,1.0,-2363.66455078125
15,0.05,0.16,0.0,1.0,-2142.54248046875
16,0.05,0.17,0.0,1.0,-2034.2552490234375
17,0.05,0.18,0.0,1.0,-1854.20166015625
18,0.05,0.19,0.0,1.0,-1655.1541748046875
19,0.05,0.2,0.0,1.0,-1538.47314453125
20,0.05,0.21,0.0,1.0,-1583.2039794921875
21,0.05,0.22,0.0,1.0,-1413.1622314453125
22,0.05,0.23,0.0,1.0,-1346.096923828125
23,0.05,0.24,0.0,1.0,-1241.012939453125
24,0.05,0.25,0.0,1.0,-1201.688720703125
25,0.05,0.26,0.0,1.0,-1032.589599609375
26,0.05,0.27,0.0,1.0,-1059.173095703125
27,0.05,0.28,0.0,1.0,-1012.2576293945312
28,0.05,0.29,0.0,1.0,-959.4949951171875
29,0.05,0.3,0.0,1.0,-930.2744140625
30,0.05,0.31,0.0,1.0,-929.4590454101562
31,0.05,0.32,0.0,1.0,-919.26806640625
32,0.05,0.33,0.0,1.0,-909.1471557617188
33,0.05,0.34,0.0,1.0,-907.2989501953125
34,0.05,0.35,0.0,1.0,-903.2362060546875
35,0.05,0.36,0.0,1.0,-899.7864990234375
36,0.05,0.37,0.0,1.0,-897.9075927734375
37,0.05,0.38,0.0,1.0,-897.5293579101562
38,0.05,0.39,0.0,1.0,-895.8876953125
39,0.05,0.4,0.0,1.0,-896.3165283203125
40,0.05,0.41,0.0,1.0,-895.812255859375
41,0.05,0.42,0.0,1.0,-896.7821044921875
42,0.05,0.43,0.0,1.0,-897.2838134765625
43,0.05,0.44,0.0,1.0,-896.8938598632812
44,0.05,0.45,0.0,1.0,-898.6650390625
45,0.05,0.46,0.0,1.0,-898.5848388671875
46,0.05,0.47,0.0,1.0,-902.2398681640625
47,0.05,0.48,0.0,1.0,-900.9322509765625
48,0.05,0.49,0.0,1.0,-901.0064697265625
49,0.05,0.5,0.0,1.0,-904.82080078125
50,0.05,0.51,0.0,1.0,-903.2821044921875
51,0.05,0.52,0.0,1.0,-903.55517578125
52,0.05,0.53,0.0,1.0,-905.99853515625
53,0.05,0.54,0.0,1.0,-906.98388671875
54,0.05,0.55,0.0,1.0,-906.463623046875
55,0.05,0.56,0.0,1.0,-921.146240234375
56,0.05,0.57,0.0,1.0,-910.6047973632812
57,0.05,0.58,0.0,1.0,-908.998291015625
58,0.05,0.59,0.0,1.0,-910.67138671875
59,0.05,0.6,0.0,1.0,-911.7929077148438
60,0.05,0.61,0.0,1.0,-913.2366943359375
61,0.05,0.62,0.0,1.0,-912.0623779296875
62,0.05,0.63,0.0,1.0,-917.3119506835938
63,0.05,0.64,0.0,1.0,-917.203125
64,0.05,0.65,0.0,1.0,-918.8984375
65,0.05,0.66,0.0,1.0,-918.996337890625
66,0.05,0.67,0.0,1.0,-917.73388671875
67,0.05,0.68,0.0,1.0,-918.052490234375
68,0.05,0.69,0.0,1.0,-919.10595703125
69,0.05,0.7,0.0,1.0,-919.8051147460938
70,0.05,0.71,0.0,1.0,-918.7884521484375
71,0.05,0.72,0.0,1.0,-922.1424560546875
72,0.05,0.73,0.0,1.0,-923.6578369140625
73,0.05,0.74,0.0,1.0,-920.7877197265625
74,0.05,0.75,0.0,1.0,-931.3945922851562
75,0.05,0.76,0.0,1.0,-922.4929809570312
76,0.05,0.77,0.0,1.0,-922.68212890625
77,0.05,0.78,0.0,1.0,-932.55908203125
78,0.05,0.79,0.0,1.0,-926.0323486328125
79,0.05,0.8,0.0,1.0,-930.190185546875
80,0.05,0.81,0.0,1.0,-925.695068359375
81,0.05,0.82,0.0,1.0,-927.2808837890625
82,0.05,0.83,0.0,1.0,-925.1207275390625
83,0.05,0.84,0.0,1.0,-927.0033569335938
84,0.05,0.85,0.0,1.0,-933.7559814453125
85,0.05,0.86,0.0,1.0,-943.8880615234375
86,0.05,0.87,0.0,1.0,-930.6046142578125
87,0.05,0.88,0.0,1.0,-930.3836669921875
88,0.05,0.89,0.0,1.0,-930.3558349609375
89,0.05,0.9,0.0,1.0,-930.3775024414062
90,0.05,0.91,0.0,1.0,-930.21337890625
91,0.05,0.92,0.0,1.0,-930.7780151367188
92,0.05,0.93,0.0,1.0,-936.1035766601562
93,0.05,0.94,0.0,1.0,-939.6165771484375
94,0.05,0.95,0.0,1.0,-934.2319946289062
95,0.05,0.96,0.0,1.0,-932.0216674804688
96,0.05,0.97,0.0,1.0,-935.1695556640625
97,0.05,0.98,0.0,1.0,-932.8641967773438
98,0.05,0.99,0.0,1.0,-963.29248046875
99,0.05,1.0,0.0,1.0,-933.306396484375
