delta,threshold,n_points,n_components
0.5,-1944.959756440719,1,1
1.0,-1945.459756440719,5,1
2.0,-1946.459756440719,11,2
5.0,-1949.459756440719,32,5
10.0,-1954.459756440719,73,3
20.0,-1964.459756440719,218,2
50.0,-1994.459756440719,721,2
100.0,-2044.459756440719,1666,1
