delta,threshold,n_points,n_components
0.5,-1936.9161183112265,1,1
1.0,-1937.4161183112265,3,2
2.0,-1938.4161183112265,6,4
5.0,-1941.4161183112265,16,5
10.0,-1946.4161183112265,46,1
20.0,-1956.4161183112265,118,2
50.0,-1986.4161183112265,320,2
100.0,-2036.4161183112265,699,1
