mu,rho,ll
0.393077,1.0,-2422.81543
0.392903,1.0,-2428.013916
0.393681,1.0,-2426.271973
0.394866,1.0,-2424.928711
0.394866,1.0,-2426.498047
0.394866,1.0,-2427.677246
0.394866,1.0,-2426.378174
0.394626,1.0,-2423.21582
0.393989,1.0,-2423.828857
0.394447,1.0,-2427.681152
0.392783,1.0,-2429.375
0.392783,1.0,-2423.162109
0.393824,1.0,-2427.460449
0.393395,1.0,-2428.45874
0.393395,1.0,-2428.857178
0.391961,1.0,-2423.247559
0.391428,1.0,-2431.256348
0.389032,1.0,-2423.993652
0.387132,1.0,-2423.353027
0.386406,1.0,-2424.045898
0.386246,1.0,-2423.576172
0.384959,1.0,-2428.384277
0.384959,1.0,-2428.836182
0.384959,1.0,-2423.256592
0.386887,1.0,-2425.44043
0.386514,1.0,-2428.244141
0.387026,1.0,-2426.750977
0.387026,1.0,-2425.26416
0.387026,1.0,-2424.850586
0.386897,1.0,-2429.106445
0.386514,1.0,-2421.988037
0.386008,1.0,-2429.071045
0.385217,1.0,-2423.562012
0.385217,1.0,-2430.083252
0.385217,1.0,-2424.087402
0.384244,1.0,-2426.258789
0.384244,1.0,-2425.117188
0.383273,1.0,-2426.447998
0.383273,1.0,-2429.286621
0.383273,1.0,-2423.295166
0.383367,1.0,-2427.810791
0.383367,1.0,-2421.234131
0.383367,1.0,-2424.06543
0.383466,1.0,-2421.922852
0.383466,1.0,-2426.347168
0.384042,1.0,-2423.44043
0.383571,1.0,-2424.694824
0.383571,1.0,-2426.0354
0.384203,1.0,-2427.792969
0.384522,1.0,-2428.933105
0.385383,1.0,-2420.162354
0.386102,1.0,-2425.26416
0.386102,1.0,-2429.359131
0.386146,1.0,-2426.843018
0.38605,1.0,-2430.99585
0.386937,1.0,-2426.149658
0.387213,1.0,-2425.954346
0.387213,1.0,-2423.393555
0.386372,1.0,-2425.422363
0.387199,1.0,-2425.931152
0.388229,1.0,-2425.22168
0.388193,1.0,-2427.492676
0.388193,1.0,-2424.284668
0.388193,1.0,-2423.03418
0.388001,1.0,-2430.430908
0.388001,1.0,-2429.605469
0.388001,1.0,-2424.719727
0.389048,1.0,-2426.68335
0.389048,1.0,-2426.606689
0.389048,1.0,-2428.628418
0.390037,1.0,-2427.288574
0.390037,1.0,-2428.756836
0.389986,1.0,-2426.09082
0.389772,1.0,-2425.622314
0.38907,1.0,-2423.48877
0.388151,1.0,-2430.913574
0.388951,1.0,-2426.696289
0.388951,1.0,-2425.568359
0.388951,1.0,-2427.125
0.388951,1.0,-2430.202881
0.386672,1.0,-2423.824707
0.386672,1.0,-2420.792969
0.386672,1.0,-2427.017334
0.386672,1.0,-2424.494385
0.385091,1.0,-2430.009766
0.383806,1.0,-2423.126221
0.383806,1.0,-2421.359863
0.384356,1.0,-2424.368408
0.383479,1.0,-2428.028564
0.383479,1.0,-2425.067627
0.383479,1.0,-2423.700684
0.383479,1.0,-2420.846924
0.3852,1.0,-2427.924805
0.385033,1.0,-2428.227539
0.385033,1.0,-2425.043701
0.385381,1.0,-2425.708984
0.385381,1.0,-2431.369629
0.385839,1.0,-2428.314453
0.385672,1.0,-2428.398438
0.385672,1.0,-2425.766357
0.385672,1.0,-2428.77832
0.385672,1.0,-2424.709229
0.385135,1.0,-2423.055664
0.385284,1.0,-2428.187012
0.385622,1.0,-2427.124268
0.385622,1.0,-2421.489746
0.385622,1.0,-2430.334229
0.387721,1.0,-2423.332031
0.387721,1.0,-2434.28418
0.387721,1.0,-2427.161621
0.38861,1.0,-2427.432617
0.388936,1.0,-2428.378906
0.388936,1.0,-2425.921875
0.390052,1.0,-2427.11084
0.390052,1.0,-2421.938232
0.389419,1.0,-2425.914551
0.389308,1.0,-2425.297363
0.389308,1.0,-2422.38501
0.389735,1.0,-2424.809082
0.389735,1.0,-2428.438232
0.389735,1.0,-2424.968994
0.39002,1.0,-2426.012207
0.388045,1.0,-2420.410156
0.38774,1.0,-2419.827881
0.388208,1.0,-2426.064453
0.388208,1.0,-2428.25293
0.388208,1.0,-2425.079102
0.387587,1.0,-2427.797852
0.386843,1.0,-2429.384033
0.387662,1.0,-2422.730957
0.387662,1.0,-2427.912842
0.389399,1.0,-2424.613281
0.39074,1.0,-2427.256348
0.39074,1.0,-2424.875977
0.389979,1.0,-2421.944824
0.390169,1.0,-2430.97998
0.390077,1.0,-2429.264648
0.389613,1.0,-2423.273926
0.389613,1.0,-2424.233887
0.389547,1.0,-2425.137451
0.388902,1.0,-2425.710449
0.389409,1.0,-2424.447266
0.389856,1.0,-2425.858398
0.390542,1.0,-2425.166504
0.390364,1.0,-2424.893555
0.390364,1.0,-2425.784668
0.390965,1.0,-2426.194824
0.390965,1.0,-2426.85791
0.390965,1.0,-2424.398438
0.391108,1.0,-2428.217041
0.391108,1.0,-2427.26123
0.391321,1.0,-2423.241699
0.391003,1.0,-2434.635254
0.391253,1.0,-2423.449219
0.391253,1.0,-2431.172852
0.391243,1.0,-2425.271484
0.390377,1.0,-2426.776855
0.390377,1.0,-2420.32666
0.38845,1.0,-2431.065918
0.388294,1.0,-2429.708984
0.388294,1.0,-2421.503174
0.387205,1.0,-2425.394043
0.387205,1.0,-2426.037598
0.386528,1.0,-2423.595215
0.385675,1.0,-2425.304932
0.385675,1.0,-2429.872314
0.385675,1.0,-2427.856445
0.384932,1.0,-2425.669434
0.384198,1.0,-2426.680664
0.38342,1.0,-2427.904785
0.38342,1.0,-2427.234375
0.38342,1.0,-2426.846191
0.38342,1.0,-2424.621582
0.38342,1.0,-2424.459229
0.38342,1.0,-2427.452881
0.38368,1.0,-2428.625
0.38368,1.0,-2419.865479
0.383737,1.0,-2426.38623
0.383737,1.0,-2427.618408
0.384101,1.0,-2425.464844
0.384101,1.0,-2423.852051
0.384101,1.0,-2423.388672
0.385546,1.0,-2431.226074
0.385546,1.0,-2423.926758
0.385546,1.0,-2424.82959
0.385546,1.0,-2424.474121
0.384617,1.0,-2424.492432
0.38635,1.0,-2427.460693
0.38635,1.0,-2424.266602
0.38635,1.0,-2428.53125
0.38635,1.0,-2421.702148
0.386374,1.0,-2425.293213
0.387553,1.0,-2427.98877
0.387553,1.0,-2423.459961
0.386199,1.0,-2424.554199
0.386199,1.0,-2427.579102
0.386376,1.0,-2421.598145
0.386628,1.0,-2426.219238
0.387629,1.0,-2429.855225
0.387495,1.0,-2427.293213
0.387495,1.0,-2428.66626
0.387495,1.0,-2422.44458
0.387495,1.0,-2427.917969
0.387495,1.0,-2425.870117
0.388073,1.0,-2418.021973
0.388073,1.0,-2428.118652
0.388073,1.0,-2424.825195
0.386906,1.0,-2424.693848
0.385109,1.0,-2425.746094
0.385109,1.0,-2429.532227
0.385109,1.0,-2424.035645
0.383695,1.0,-2424.138428
0.381972,1.0,-2425.376465
0.381813,1.0,-2423.48877
0.381967,1.0,-2427.685547
0.382101,1.0,-2421.519287
0.382101,1.0,-2428.875
0.382681,1.0,-2429.941406
0.383618,1.0,-2428.987793
0.383696,1.0,-2426.489258
0.383696,1.0,-2428.982422
0.384418,1.0,-2426.521484
0.384418,1.0,-2430.222412
0.384104,1.0,-2421.822266
0.384104,1.0,-2426.698486
0.384104,1.0,-2421.756836
0.385334,1.0,-2423.774902
0.385334,1.0,-2421.202637
0.387014,1.0,-2426.944092
0.388588,1.0,-2422.083984
0.388588,1.0,-2423.125732
0.388588,1.0,-2425.842041
0.388588,1.0,-2427.807861
0.388588,1.0,-2426.916504
0.389886,1.0,-2430.234619
0.389886,1.0,-2424.57666
0.389238,1.0,-2424.672607
0.390301,1.0,-2421.296631
0.390301,1.0,-2429.488037
0.390004,1.0,-2430.946533
0.390004,1.0,-2418.916504
0.390004,1.0,-2422.242676
0.390787,1.0,-2428.908203
0.390787,1.0,-2423.398926
0.388562,1.0,-2424.874023
0.388562,1.0,-2427.398438
0.388075,1.0,-2426.453613
0.389442,1.0,-2427.578857
0.389442,1.0,-2426.958496
0.389442,1.0,-2425.713867
0.389784,1.0,-2433.863281
0.3895,1.0,-2428.286133
0.389463,1.0,-2427.918457
0.389586,1.0,-2430.078613
0.390244,1.0,-2426.915527
0.391183,1.0,-2427.510498
0.39151,1.0,-2423.935303
0.39151,1.0,-2427.773438
0.39151,1.0,-2423.144287
0.39151,1.0,-2427.979004
0.39151,1.0,-2426.757812
0.391802,1.0,-2427.490723
0.391802,1.0,-2421.690918
0.391802,1.0,-2426.811523
0.391802,1.0,-2423.818848
0.391802,1.0,-2422.258301
0.391802,1.0,-2424.876953
0.392227,1.0,-2425.732422
0.392219,1.0,-2429.437988
0.393222,1.0,-2422.09375
0.393788,1.0,-2424.112793
0.393788,1.0,-2425.325684
0.393788,1.0,-2428.114258
0.39348,1.0,-2427.063965
0.393078,1.0,-2427.160156
0.39183,1.0,-2427.059814
0.39119,1.0,-2421.136719
0.39119,1.0,-2425.605225
0.39119,1.0,-2421.97998
0.39119,1.0,-2426.267578
0.393082,1.0,-2428.957275
0.392226,1.0,-2421.493164
0.392226,1.0,-2427.984863
0.392796,1.0,-2426.749023
0.392796,1.0,-2426.324463
0.393391,1.0,-2426.741211
0.393658,1.0,-2425.034912
0.393658,1.0,-2422.231934
0.393287,1.0,-2422.861816
0.392025,1.0,-2427.015137
0.392025,1.0,-2428.585205
0.391888,1.0,-2426.426758
0.390695,1.0,-2427.250488
0.389233,1.0,-2426.811523
0.389233,1.0,-2427.685303
0.388677,1.0,-2424.560547
0.388457,1.0,-2430.79248
0.388725,1.0,-2421.572754
0.389504,1.0,-2425.321289
0.389504,1.0,-2426.626953
0.389504,1.0,-2420.46582
0.389422,1.0,-2423.727539
0.389422,1.0,-2426.113281
0.389058,1.0,-2430.041992
0.388785,1.0,-2424.20166
0.388785,1.0,-2430.525879
0.389659,1.0,-2431.884277
0.390446,1.0,-2424.754639
0.390414,1.0,-2428.269531
0.390414,1.0,-2424.926514
0.390414,1.0,-2426.01123
0.390414,1.0,-2426.191406
0.390414,1.0,-2421.903076
0.389594,1.0,-2427.22168
0.389594,1.0,-2425.001953
0.387675,1.0,-2424.011719
0.387976,1.0,-2429.854004
